Filename,ParentDir,NextDirUp,TimeInFile,PrecedingIntrvl,CallsPerSec,CallDuration,Fc,HiFreq,LowFreq,Bndwdth,FreqMaxPwr,PrcntMaxAmpDur,TimeFromMaxToFc,FreqKnee,PrcntKneeDur,StartF,EndF,DominantSlope,SlopeAtFc,StartSlope,EndSlope,SteepestSlope,LowestSlope,TotalSlope,HiFtoKnSlope,KneeToFcSlope,CummNmlzdSlp,HiFtoFcExpAmp,HiFtoFcDmp,KnToFcExpAmp,KnToFcDmp,HiFtoKnExpAmp,HiFtoKnDmp,FreqLedge,LedgeDuration,FreqCtr,FBak32dB,FFwd32dB,FBak20dB,FFwd20dB,FBak15dB  ,FFwd15dB,FBak5dB,FFwd5dB,Bndw32dB,Bndw20dB,Bndw15dB,Bndw5dB,DurOf32dB,DurOf20dB,DurOf15dB,DurOf5dB,Amp1stQrtl,Amp2ndQrtl,Amp3rdQrtl,Amp4thQrtl,Amp1stMean,Amp2ndMean,Amp3rdMean,Amp4thMean,LnExpA_StartAmp,LnExpB_StartAmp,AmpStartLn60ExpC,LnExpA_EndAmp,LnExpB_EndAmp,AmpEndLn60ExpC,AmpK@start,AmpK@end,AmpKurtosis,AmpSkew,AmpVariance,AmpMoment,AmpGausR2,Quality,HiFminusStartF,FcMinusEndF,RelPwr2ndTo1st,RelPwr3rdTo1st,LdgToFcSlp,KnToFcDur,UpprKnFreq,HiFtoUpprKnSlp,HiFtoUpprKnAmp,HiFtoUpprKnExp,HiFtoKnAmp,HiFtoKnExp,HiFtoFcAmp,HiFtoFcExp,UpprKnToKnAmp,UpprKnToKnExp,KnToFcAmp,KnToFcExp,LdgToFcAmp,LdgToFcExp,PreFc250,PreFc500,PreFc1000,PreFc250Residue,PreFc500Residue,PreFc1000Residue,PreFc3000,PreFc3000Residue,KneeToFcResidue,Kn-FcCurviness,meanKn-FcCurviness,Kn-FcCurvinessTrndSlp,Path,Version,Filter,Preemphasis,MinAccpQuality,MaxSegLnght,Max#CallsConsidered
barn1_D20220205T190035m593.wav,20220205.0,audio,99.0,0.0,1.831663,1.712195,55.740036,69.096414,52.968722,16.127693,57.081609,56.993518,0.12198,58.015409,52.719004,69.096414,53.474909,10.699361,10.885531,-1.34628,-0.660194,18.145494,2.506493,13.194275,12.630029,11.704154,11.551827,3.604087,1.344004,0.539707,8.665254,3.287406,1.535769,58.015409,0.195168,58.747588,47.705314,95.410628,51.932367,67.028986,53.743961,65.217391,56.763285,62.801932,47.705314,15.096618,11.47343,6.038647,0.026888,1.416951,0.902652,0.390336,86.657132,7183.214715,15903.861695,16163.421086,0.484342,0.858938,0.912141,0.962774,-0.109472,0.190323,4.094345,0.080787,-1.570324,4.094345,-2.90954,5.218255,2.527904,-1.037171,0.039216,0.038648,0.866299,0.858938,0.912141,0.962774,-0.109472,0.190323,11.704154,0.195168,58.015409,12.630029,148.31455,-0.194513,148.31455,-0.194513,156.462033,-0.207453,0.0,0.0,153.627418,-0.205521,153.627418,-0.205521,-12.366639,-15.302249,-14.724666,0.002973,0.032159,0.041154,-14.724666,0.041154,0.000697,0.075773,0.012629,-0.113845,Z:\barn1\audio\20220205\barn1_D20220205T190035m593.wav,4.4.5,5 kHz,medium,0.8,0.5 sec,32.0
barn1_D20220205T190035m593.wav,20220205.0,audio,243.0,144.864,1.831663,1.703161,61.860477,79.934505,56.253818,23.680687,63.658953,61.832087,0.36736,65.758615,50.328443,79.934505,56.253818,4.46246,12.046393,-9.333675,-10.182852,25.382632,4.212358,15.110084,16.81461,6.405021,14.163981,3.215756,1.336122,0.437492,4.073525,5.135273,1.324478,65.758615,0.563286,65.758615,53.571429,93.452381,57.142857,77.380952,57.738095,75.595238,60.714286,70.833333,39.880952,20.238095,17.857143,10.119048,0.026211,1.381341,1.208185,0.857174,65.997202,7080.370793,17079.938616,18772.043606,0.494632,0.654595,0.917648,0.86391,0.009188,-0.643772,4.094345,-0.106928,-1.285117,4.094345,7.324904,2.554447,1.507682,-0.140197,0.035476,0.034969,0.795957,0.654595,0.917648,0.86391,0.009188,-0.643772,6.405021,0.563286,65.758615,16.81461,158.854123,-0.223611,158.854123,-0.223611,155.057187,-0.216869,0.0,0.0,96.203957,-0.101248,96.203957,-0.101248,-4.379391,-4.422582,-4.422582,7.822977e-05,9.403196e-05,9.403196e-05,-4.422582,9.403196e-05,0.051877,0.261708,0.012462,-0.080253,Z:\barn1\audio\20220205\barn1_D20220205T190035m593.wav,4.4.5,5 kHz,medium,0.8,0.5 sec,32.0
barn1_D20220205T190035m593.wav,20220205.0,audio,335.0,92.448,1.831663,3.487478,57.070597,85.803434,56.550286,29.253148,56.987515,68.772417,0.523728,57.318108,50.710974,85.803434,58.015415,1.074699,0.453424,-3.903698,2.579016,31.561483,0.045525,12.187342,17.548315,0.343494,10.236351,4.128771,0.710479,-0.118185,1.477062,9.061355,0.722369,56.87694,0.221215,57.539867,46.296296,87.962963,50.925926,64.814815,51.793981,61.342593,54.976852,59.027778,41.666667,13.888889,9.548611,4.050926,0.024579,2.154668,1.985082,1.839723,51.209885,3439.327815,12704.573806,6612.104176,0.358337,0.533464,0.907685,0.801378,0.009192,-1.254094,4.094345,0.00081,-1.893809,4.094345,11.057472,3.911704,1.949238,-0.406857,0.061474,0.061047,0.653052,0.533464,0.907685,0.801378,0.009192,-1.254094,0.975496,1.153616,78.762234,11.760627,127.864497,-0.140607,171.246592,-0.233439,145.982505,-0.187543,55.177813,0.005997,55.165817,0.006041,51.809274,0.017115,0.289403,-0.095526,0.557878,0.005615,0.005299,0.010889,0.557878,0.010889,0.027709,0.218522,0.004856,-0.02124,Z:\barn1\audio\20220205\barn1_D20220205T190035m593.wav,4.4.5,5 kHz,medium,0.8,0.5 sec,32.0
barn1_D20220205T190246m924.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barn1_D20220205T190246m924.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barn1_D20220205T190246m924.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barn1_D20220205T190246m924.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barn1_D20220205T190246m924.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barn1_D20220205T190246m924.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barn1_D20220205T190246m924.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barn1_D20220205T190246m924.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barn1_D20220205T190246m924.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barn1_D20220205T190246m924.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barn1_D20220205T190246m924.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barn1_D20220205T190246m924.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barn1_D20220205T190246m924.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barn1_D20220205T190246m924.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barn1_D20220205T190246m924.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
