,start_times,end_times,det_probs
0,0.0015,0.0231,0.047
1,0.0015,0.0191,0.186
2,0.0085,0.0326,0.142
3,0.0105,0.0415,0.099
4,0.0105,0.017,0.046
5,0.0105,0.0317,0.126
6,0.0125,0.0243,0.054
7,0.0125,0.0257,0.134
8,0.0175,0.0277,0.081
9,0.0235,0.0352,0.063
10,0.0365,0.0474,0.037
11,0.0425,0.0771,0.039
12,0.0715,0.1133,0.042
13,0.0735,0.082,0.045
14,0.0745,0.0834,0.057
15,0.0815,0.09,0.037
16,0.0985,0.1113,0.124
17,0.1005,0.1086,0.051
18,0.1095,0.1161,0.049
19,0.1255,0.1376,0.178
20,0.1255,0.1616,0.039
21,0.1275,0.1375,0.231
22,0.1275,0.168,0.083
23,0.1745,0.1819,0.042
24,0.1885,0.1965,0.037
25,0.1915,0.2347,0.05
26,0.1995,0.2088,0.052
27,0.2015,0.2148,0.115
28,0.2015,0.2486,0.064
29,0.2035,0.2392,0.039
30,0.2285,0.2348,0.046
31,0.2405,0.2487,0.041
32,0.2525,0.2593,0.042
33,0.2615,0.2863,0.059
34,0.2665,0.2883,0.059
35,0.2875,0.2985,0.062
36,0.2895,0.2968,0.06
37,0.2905,0.3285,0.039
38,0.3375,0.3441,0.038
39,0.4035,0.4448,0.04
40,0.4195,0.4318,0.181
41,0.4225,0.4289,0.045
42,0.4495,0.4847,0.042
43,0.4525,0.4747,0.095
44,0.4525,0.4967,0.053
45,0.4535,0.4689,0.127
46,0.4545,0.4643,0.117
47,0.4555,0.4632,0.044
48,0.4575,0.4982,0.049
49,0.4635,0.4774,0.066
50,0.4695,0.5021,0.04
51,0.4745,0.4882,0.145
52,0.4765,0.4892,0.055
53,0.4775,0.4904,0.177
54,0.4775,0.4974,0.04
55,0.4785,0.5187,0.037
56,0.4875,0.5015,0.114
57,0.4945,0.5066,0.2
58,0.5205,0.5306,0.058
59,0.5895,0.5945,0.04
60,0.6565,0.6989,0.046
61,0.6565,0.6916,0.039
62,0.6585,0.6706,0.085
63,0.6605,0.6684,0.059
64,0.6775,0.6893,0.045
65,0.6985,0.7058,0.038
66,0.7085,0.7189,0.082
67,0.7115,0.7339,0.066
68,0.7215,0.7379,0.077
69,0.7595,0.7707,0.159
70,0.7595,0.7959,0.038
71,0.8165,0.8233,0.039
72,0.8475,0.8547,0.052
73,0.8565,0.8664,0.039
74,0.8765,0.895,0.207
75,0.8775,0.8901,0.099
76,0.8775,0.9183,0.04
77,0.8855,0.9262,0.042
