,start_times,end_times,det_probs
0,0.0025,0.0236,0.124
1,0.0035,0.0364,0.162
2,0.0035,0.0205,0.081
3,0.0055,0.0157,0.334
4,0.0065,0.0193,0.194
5,0.0105,0.0263,0.038
6,0.0115,0.034,0.055
7,0.0195,0.0315,0.056
8,0.0205,0.0345,0.065
9,0.0385,0.0471,0.051
10,0.0435,0.0779,0.037
11,0.0485,0.0731,0.11
12,0.0615,0.0721,0.038
13,0.0625,0.0731,0.064
14,0.0725,0.1081,0.042
15,0.0755,0.085,0.038
16,0.0785,0.0975,0.04
17,0.1055,0.1129,0.056
18,0.1245,0.1467,0.149
19,0.1275,0.1621,0.05
20,0.1275,0.1383,0.089
21,0.1285,0.1658,0.041
22,0.1505,0.1719,0.041
23,0.1515,0.1601,0.036
24,0.1615,0.1715,0.04
25,0.1715,0.2054,0.038
26,0.1755,0.1862,0.046
27,0.2255,0.2335,0.109
28,0.2255,0.2644,0.05
29,0.2255,0.2383,0.182
30,0.2495,0.2858,0.07
31,0.2505,0.2632,0.252
32,0.2505,0.2625,0.097
33,0.2505,0.259,0.219
34,0.2505,0.2624,0.113
35,0.2505,0.2915,0.068
36,0.2745,0.2863,0.059
37,0.2935,0.3374,0.051
38,0.2945,0.3027,0.063
39,0.2985,0.3088,0.041
40,0.3085,0.322,0.037
41,0.3175,0.3281,0.037
42,0.3355,0.3463,0.038
43,0.3535,0.3971,0.038
44,0.3565,0.3749,0.113
45,0.3635,0.3756,0.118
46,0.3635,0.4016,0.035
47,0.3645,0.405,0.039
48,0.3655,0.3807,0.252
49,0.3885,0.3937,0.059
50,0.3895,0.3992,0.058
51,0.3985,0.4393,0.041
52,0.4005,0.4105,0.055
53,0.4275,0.4383,0.037
54,0.4305,0.4368,0.045
55,0.4315,0.4698,0.045
56,0.4415,0.4781,0.04
57,0.4455,0.4821,0.152
58,0.4485,0.4614,0.321
59,0.4485,0.4705,0.221
60,0.4495,0.4682,0.289
61,0.4495,0.4603,0.134
62,0.4575,0.4689,0.134
63,0.4595,0.4689,0.043
64,0.4635,0.4904,0.059
65,0.4735,0.5106,0.037
66,0.4745,0.4906,0.042
67,0.4945,0.5034,0.035
68,0.4965,0.5361,0.049
69,0.5005,0.5114,0.104
70,0.5005,0.5119,0.063
71,0.5215,0.5363,0.039
72,0.5285,0.542,0.038
73,0.5505,0.5883,0.036
74,0.5685,0.5759,0.038
75,0.6095,0.6448,0.044
76,0.6095,0.6464,0.046
77,0.6095,0.6151,0.088
78,0.6095,0.614,0.063
79,0.6105,0.6159,0.05
80,0.6705,0.7031,0.035
81,0.6745,0.7168,0.162
82,0.6755,0.6869,0.082
83,0.6755,0.6949,0.331
84,0.6755,0.6918,0.332
85,0.6765,0.7187,0.053
86,0.6785,0.7007,0.054
87,0.6845,0.7189,0.063
88,0.6875,0.7041,0.099
89,0.6895,0.7028,0.039
90,0.6905,0.7025,0.08
91,0.6925,0.7151,0.065
92,0.6975,0.7354,0.048
93,0.6995,0.7152,0.063
94,0.7025,0.7131,0.04
95,0.7025,0.7129,0.11
96,0.7065,0.737,0.075
97,0.7085,0.7222,0.061
98,0.7115,0.7167,0.053
99,0.7195,0.7313,0.052
100,0.7405,0.7476,0.04
101,0.7405,0.7499,0.037
102,0.7425,0.781,0.041
103,0.7665,0.7728,0.038
104,0.7675,0.8049,0.037
105,0.7815,0.8193,0.045
106,0.7815,0.7875,0.076
107,0.8125,0.8227,0.099
108,0.8455,0.8838,0.051
109,0.8455,0.8516,0.037
110,0.8455,0.8524,0.046
111,0.8635,0.8712,0.038
112,0.8705,0.878,0.037
113,0.8935,0.9394,0.139
114,0.8945,0.9197,0.129
115,0.8945,0.9055,0.166
116,0.8955,0.9106,0.209
117,0.8955,0.9376,0.068
118,0.8985,0.9175,0.257
119,0.9055,0.9198,0.078
120,0.9085,0.9399,0.125
121,0.9105,0.9235,0.172
122,0.9115,0.9197,0.084
123,0.9125,0.9189,0.085
124,0.9125,0.9234,0.077
125,0.9135,0.9264,0.093
126,0.9135,0.9432,0.108
127,0.9135,0.9261,0.081
128,0.9135,0.9184,0.058
129,0.9145,0.9481,0.036
130,0.9185,0.9338,0.08
131,0.9195,0.9302,0.066
132,0.9195,0.9292,0.096
133,0.9275,0.9378,0.055
134,0.9275,0.9521,0.061
135,0.9365,0.9623,0.047
136,0.9525,0.9611,0.04
137,0.9535,0.9724,0.106
138,0.9565,0.997,0.052
139,0.9615,0.9766,0.049
140,0.9635,0.9769,0.127
141,0.9655,0.9753,0.042
142,0.9835,0.9971,0.215
143,0.9875,0.9972,0.042
144,1.0045,1.0119,0.038
145,1.0075,1.0442,0.045
146,1.0275,1.047,0.204
147,1.0285,1.0618,0.047
148,1.0295,1.0387,0.043
149,1.0365,1.0526,0.038
150,1.0435,1.0845,0.136
151,1.0445,1.0637,0.113
152,1.0475,1.0839,0.051
153,1.0525,1.0646,0.115
154,1.0535,1.068,0.129
155,1.0545,1.0877,0.101
156,1.0585,1.0714,0.155
157,1.0615,1.0746,0.044
158,1.0675,1.1057,0.051
159,1.0705,1.086,0.114
160,1.0755,1.1103,0.037
161,1.0755,1.1186,0.079
162,1.0775,1.0883,0.131
163,1.0865,1.0978,0.12
164,1.0885,1.096,0.061
165,1.0905,1.1249,0.035
166,1.1095,1.1232,0.06
167,1.1155,1.1289,0.067
168,1.1165,1.1259,0.153
169,1.1185,1.1537,0.036
170,1.1375,1.145,0.037
171,1.1645,1.1749,0.04
172,1.1985,1.2336,0.035
173,1.2275,1.2716,0.051
174,1.2285,1.2619,0.037
175,1.2365,1.2452,0.035
176,1.2895,1.2982,0.058
177,1.3085,1.3188,0.081
178,1.3085,1.3196,0.045
179,1.3115,1.3509,0.037
180,1.3335,1.3433,0.115
181,1.4165,1.4583,0.037
182,1.4275,1.4376,0.062
183,1.4335,1.4445,0.036
184,1.4725,1.4803,0.042
185,1.5255,1.5405,0.179
186,1.5255,1.5528,0.17
187,1.5275,1.551,0.201
188,1.5275,1.5661,0.16
189,1.5345,1.5473,0.035
190,1.5375,1.5684,0.111
191,1.5415,1.5531,0.127
192,1.5465,1.557,0.062
193,1.5665,1.5752,0.049
194,1.5775,1.5869,0.075
195,1.5775,1.6204,0.068
196,1.5775,1.5905,0.061
197,1.5785,1.5891,0.036
198,1.5835,1.605,0.067
199,1.5915,1.6011,0.053
200,1.5985,1.6082,0.055
201,1.6245,1.6663,0.129
202,1.6255,1.6624,0.048
203,1.6255,1.6411,0.279
204,1.6265,1.6367,0.133
205,1.6285,1.6394,0.041
206,1.6355,1.6749,0.036
207,1.6645,1.6733,0.035
208,1.6655,1.6775,0.094
209,1.6735,1.7091,0.039
210,1.6735,1.714,0.035
211,1.6765,1.6889,0.203
212,1.6775,1.6859,0.048
213,1.6775,1.6855,0.05
214,1.6955,1.7053,0.052
215,1.6975,1.7041,0.053
216,1.6985,1.7359,0.037
217,1.7195,1.7288,0.037
218,1.7395,1.7801,0.129
219,1.7435,1.7561,0.04
220,1.7445,1.7599,0.295
221,1.7445,1.7675,0.254
222,1.7455,1.7879,0.063
223,1.7475,1.7723,0.142
224,1.7575,1.7707,0.073
225,1.7605,1.772,0.148
226,1.7665,1.7802,0.098
227,1.7675,1.7792,0.075
228,1.7695,1.7759,0.054
229,1.7705,1.8058,0.041
230,1.7705,1.8018,0.128
231,1.7705,1.7858,0.046
232,1.7705,1.7797,0.067
233,1.7735,1.7849,0.097
234,1.7795,1.7945,0.088
235,1.7815,1.8036,0.064
236,1.7825,1.7954,0.065
237,1.8005,1.8205,0.036
238,1.8015,1.8097,0.035
239,1.8235,1.8312,0.095
240,1.8235,1.8308,0.085
241,1.8235,1.8659,0.04
242,1.8245,1.8646,0.049
243,1.8585,1.87,0.047
244,1.8695,1.9043,0.046
245,1.8905,1.8991,0.06
246,1.8925,1.9008,0.056
247,1.9075,1.9462,0.04
248,1.9145,1.9568,0.035
249,1.9175,1.928,0.04
250,1.9725,1.9788,0.043
251,1.9805,1.988,0.041
252,1.9815,2.0215,0.039
253,2.0065,2.0454,0.178
254,2.0075,2.0263,0.141
255,2.0075,2.0214,0.233
256,2.0095,2.0243,0.206
257,2.0105,2.0184,0.097
258,2.0175,2.032,0.067
259,2.0225,2.0337,0.085
260,2.0265,2.0565,0.051
261,2.0455,2.0868,0.065
262,2.0485,2.0641,0.208
263,2.0495,2.0625,0.068
264,2.0645,2.0749,0.093
265,2.0675,2.075,0.037
266,2.1035,2.118,0.096
267,2.1165,2.1568,0.036
268,2.1215,2.1332,0.041
269,2.1455,2.1563,0.04
270,2.2105,2.2171,0.035
271,2.2245,2.2614,0.041
272,2.2245,2.2315,0.058
273,2.2245,2.2303,0.046
274,2.2805,2.2881,0.037
275,2.2925,2.3273,0.045
276,2.3495,2.355,0.071
277,2.3495,2.3567,0.055
278,2.3505,2.3832,0.04
279,2.3505,2.3871,0.041
280,2.3685,2.3796,0.037
281,2.3715,2.4141,0.036
282,2.3815,2.3899,0.044
283,2.4035,2.4091,0.048
284,2.4475,2.4851,0.036
285,2.4835,2.4914,0.099
286,2.4845,2.5238,0.049
287,2.4845,2.4902,0.062
288,2.5575,2.606,0.108
289,2.5575,2.5954,0.044
290,2.5585,2.5826,0.228
291,2.5605,2.576,0.346
292,2.5835,2.6235,0.035
293,2.5915,2.6059,0.199
294,2.5915,2.6051,0.226
295,2.5935,2.6075,0.037
296,2.5945,2.6191,0.132
297,2.5985,2.6296,0.064
298,2.6035,2.6163,0.149
299,2.6045,2.6135,0.137
300,2.6045,2.616,0.08
301,2.6055,2.6454,0.063
302,2.6085,2.6203,0.095
303,2.6115,2.6216,0.079
304,2.6175,2.6538,0.036
305,2.6175,2.6266,0.042
306,2.6335,2.6527,0.069
307,2.6365,2.6523,0.174
308,2.6405,2.6546,0.085
309,2.6555,2.666,0.071
310,2.6885,2.6969,0.055
311,2.7085,2.7208,0.037
312,2.7165,2.7239,0.035
313,2.7595,2.7943,0.041
314,2.7595,2.7655,0.047
315,2.7785,2.8142,0.039
316,2.8135,2.8224,0.042
317,2.8385,2.8805,0.035
318,2.8435,2.8813,0.037
319,2.8445,2.8536,0.038
320,2.8585,2.87,0.053
321,2.9105,2.9202,0.037
322,2.9125,2.9225,0.041
323,2.9125,2.9504,0.04
324,2.9205,2.9547,0.13
325,2.9205,2.9343,0.24
326,2.9215,2.9398,0.246
327,2.9225,2.9329,0.111
328,2.9225,2.9656,0.038
329,2.9225,2.944,0.119
330,2.9375,2.9484,0.125
331,2.9405,2.9488,0.057
332,2.9405,2.949,0.078
333,2.9415,2.9716,0.146
334,2.9715,2.9861,0.119
335,2.9785,3.0118,0.036
336,2.9815,2.9909,0.097
337,2.9825,2.9905,0.073
338,2.9825,3.0283,0.067
339,3.0055,3.0135,0.035
340,3.0095,3.0269,0.101
341,3.0205,3.0558,0.036
342,3.0365,3.0442,0.068
343,3.0575,3.0645,0.038
344,3.0715,3.0807,0.111
345,3.1095,3.1438,0.037
346,3.1145,3.1246,0.043
347,3.1145,3.1528,0.037
348,3.1165,3.1277,0.057
349,3.1565,3.1644,0.084
350,3.1575,3.1639,0.041
351,3.1585,3.1926,0.035
352,3.1825,3.2166,0.04
353,3.1835,3.2258,0.053
354,3.1915,3.2332,0.043
355,3.1925,3.1993,0.036
356,3.2275,3.2332,0.05
357,3.2285,3.2349,0.068
358,3.2425,3.2512,0.064
359,3.3255,3.3328,0.04
360,3.3455,3.3516,0.074
361,3.3455,3.3505,0.077
362,3.3455,3.3497,0.063
363,3.3555,3.3692,0.045
364,3.3565,3.3656,0.044
365,3.3625,3.3699,0.039
366,3.3685,3.3751,0.036
367,3.4125,3.4217,0.038
368,3.4155,3.4576,0.042
369,3.4965,3.5073,0.045
370,3.5645,3.6074,0.056
371,3.5645,3.5839,0.258
372,3.5665,3.584,0.035
373,3.5675,3.5841,0.128
374,3.5675,3.6092,0.222
375,3.5695,3.5834,0.17
376,3.5725,3.5845,0.049
377,3.5785,3.5904,0.087
378,3.5785,3.5933,0.059
379,3.5855,3.5955,0.091
380,3.5895,3.6217,0.147
381,3.5905,3.6011,0.109
382,3.5965,3.6324,0.039
383,3.6235,3.632,0.04
384,3.6245,3.6449,0.074
385,3.6445,3.6542,0.072
386,3.6765,3.7142,0.042
387,3.6765,3.6829,0.045
388,3.6955,3.7136,0.074
389,3.7025,3.7423,0.04
390,3.7035,3.7111,0.067
391,3.7365,3.7442,0.041
392,3.7365,3.7463,0.043
393,3.8065,3.8494,0.048
394,3.8065,3.8177,0.047
395,3.8075,3.8145,0.215
