,start_times,end_times,det_probs
0,0.0015,0.0099,0.028
1,0.0015,0.0364,0.089
2,0.0015,0.0112,0.025
3,0.0015,0.0105,0.035
4,0.0095,0.0379,0.035
5,0.0215,0.0559,0.025
6,0.0235,0.0344,0.029
7,0.0275,0.0402,0.069
8,0.0275,0.0619,0.027
9,0.0595,0.0653,0.061
10,0.0765,0.1071,0.026
11,0.1015,0.1122,0.053
12,0.1285,0.1695,0.028
13,0.1305,0.1633,0.028
14,0.1355,0.1482,0.032
15,0.1355,0.1487,0.071
16,0.1535,0.1763,0.156
17,0.1585,0.1781,0.252
18,0.1585,0.2025,0.048
19,0.1685,0.2007,0.039
20,0.1925,0.2059,0.138
21,0.2455,0.2525,0.054
22,0.2925,0.3335,0.027
23,0.2995,0.3084,0.027
24,0.3535,0.3641,0.027
25,0.3885,0.4314,0.038
26,0.3915,0.4026,0.111
27,0.3915,0.4105,0.168
28,0.3945,0.4282,0.032
29,0.4255,0.435,0.04
30,0.4355,0.4755,0.028
31,0.4465,0.4534,0.029
32,0.4465,0.4566,0.029
33,0.4745,0.4931,0.036
34,0.4875,0.4961,0.027
35,0.4905,0.5319,0.03
36,0.5225,0.5306,0.026
37,0.5405,0.5788,0.027
38,0.5465,0.5766,0.034
39,0.5595,0.5661,0.036
40,0.5605,0.5697,0.034
41,0.5605,0.5998,0.027
42,0.5775,0.5861,0.027
43,0.5975,0.6401,0.026
44,0.6005,0.6107,0.03
45,0.6025,0.6122,0.033
46,0.6155,0.6235,0.031
47,0.6165,0.625,0.047
48,0.6425,0.6524,0.053
49,0.6425,0.6514,0.031
50,0.6515,0.6844,0.028
51,0.6585,0.6665,0.026
52,0.6675,0.6787,0.034
53,0.6755,0.6846,0.038
54,0.6775,0.7108,0.028
55,0.6875,0.73,0.029
56,0.7115,0.7545,0.037
57,0.7395,0.7702,0.028
58,0.7415,0.7654,0.05
59,0.7495,0.8001,0.1
60,0.7535,0.7768,0.259
61,0.7535,0.7744,0.218
62,0.7585,0.7982,0.035
63,0.7695,0.8081,0.053
64,0.7775,0.7942,0.059
65,0.7785,0.788,0.066
66,0.7795,0.8167,0.052
67,0.7805,0.8124,0.03
68,0.7925,0.8008,0.026
69,0.8205,0.8566,0.037
70,0.8205,0.8408,0.213
71,0.8205,0.8462,0.163
72,0.8205,0.8701,0.078
73,0.8455,0.8559,0.028
74,0.8545,0.8961,0.025
75,0.8565,0.8639,0.031
76,0.8595,0.8917,0.029
77,0.8825,0.8911,0.026
78,0.9425,0.9578,0.042
79,0.9535,0.9637,0.026
80,0.9895,0.9998,0.029
81,0.9975,1.0042,0.029
82,1.0115,1.05,0.026
83,1.0295,1.0629,0.026
84,1.0295,1.0694,0.028
85,1.0325,1.0433,0.038
86,1.0455,1.0833,0.025
87,1.0485,1.0572,0.029
88,1.0835,1.092,0.025
89,1.0945,1.1028,0.028
90,1.0955,1.1356,0.026
91,1.0955,1.1045,0.027
92,1.0965,1.1061,0.027
93,1.1015,1.1335,0.028
94,1.1285,1.1661,0.026
95,1.1595,1.1987,0.026
96,1.1605,1.1697,0.026
97,1.1665,1.1996,0.028
98,1.1765,1.1896,0.035
99,1.1865,1.2258,0.027
100,1.2045,1.2143,0.028
101,1.2545,1.2634,0.026
102,1.2635,1.2783,0.044
103,1.2715,1.2845,0.07
104,1.2815,1.2961,0.051
105,1.2865,1.3206,0.028
106,1.2885,1.3022,0.097
107,1.2935,1.3002,0.026
