,start_times,end_times,det_probs
0,0.0015,0.0352,0.03
1,0.0015,0.0097,0.028
2,0.0015,0.0106,0.053
3,0.0085,0.0531,0.027
4,0.0175,0.0283,0.033
5,0.0205,0.0275,0.026
6,0.0265,0.0615,0.031
7,0.0515,0.0686,0.069
8,0.0525,0.0892,0.034
9,0.0525,0.0633,0.123
10,0.0535,0.098,0.05
11,0.0645,0.0707,0.062
12,0.0855,0.0993,0.073
13,0.0865,0.1306,0.029
14,0.0865,0.1061,0.27
15,0.0885,0.0939,0.029
16,0.0935,0.1248,0.028
17,0.1015,0.109,0.033
18,0.1395,0.1794,0.046
19,0.1405,0.1491,0.116
20,0.1405,0.1834,0.056
21,0.1435,0.1639,0.143
22,0.1505,0.1918,0.035
23,0.1525,0.1636,0.06
24,0.1625,0.173,0.034
25,0.1655,0.1755,0.033
26,0.1805,0.1893,0.048
27,0.2135,0.2564,0.191
28,0.2145,0.2565,0.049
29,0.2155,0.2346,0.301
30,0.2165,0.2366,0.175
31,0.2375,0.2785,0.035
32,0.2405,0.254,0.044
33,0.2425,0.2537,0.059
34,0.2875,0.3194,0.026
35,0.2955,0.3381,0.073
36,0.2975,0.3214,0.115
37,0.2975,0.3167,0.029
38,0.3085,0.3504,0.111
39,0.3105,0.3299,0.086
40,0.3115,0.3363,0.157
41,0.3135,0.3513,0.057
42,0.3235,0.3319,0.043
43,0.3265,0.3396,0.045
44,0.3375,0.3688,0.027
45,0.3435,0.355,0.046
46,0.3445,0.3765,0.031
47,0.3775,0.3991,0.083
48,0.3845,0.4256,0.056
49,0.3885,0.4252,0.048
50,0.3925,0.412,0.141
51,0.3935,0.4315,0.092
52,0.3955,0.42,0.164
53,0.4095,0.418,0.052
54,0.4195,0.4558,0.032
55,0.4335,0.4418,0.028
56,0.4485,0.4812,0.026
57,0.4575,0.5009,0.151
58,0.4605,0.4832,0.163
59,0.4635,0.4853,0.143
60,0.4655,0.5018,0.045
61,0.4665,0.5091,0.15
62,0.4755,0.4945,0.04
63,0.4835,0.4946,0.053
64,0.5035,0.5144,0.026
65,0.5205,0.5615,0.03
66,0.5265,0.536,0.03
67,0.5395,0.5798,0.029
68,0.5515,0.562,0.03
69,0.5625,0.571,0.031
70,0.5805,0.6227,0.029
71,0.5805,0.5894,0.027
72,0.5875,0.5946,0.037
73,0.5915,0.6012,0.029
74,0.6185,0.6554,0.028
75,0.6205,0.6295,0.028
76,0.6275,0.6356,0.027
77,0.6355,0.6433,0.033
78,0.6355,0.6457,0.027
79,0.6365,0.6758,0.028
80,0.6375,0.6718,0.037
81,0.6615,0.693,0.026
82,0.6655,0.7076,0.055
83,0.6775,0.6877,0.031
84,0.6795,0.6876,0.026
85,0.7075,0.7155,0.026
86,0.7105,0.7171,0.029
87,0.7205,0.7584,0.032
88,0.7275,0.768,0.028
89,0.7375,0.7434,0.028
90,0.7385,0.7455,0.029
91,0.7385,0.7711,0.028
92,0.7635,0.7731,0.038
93,0.7855,0.827,0.028
94,0.8295,0.8375,0.039
95,0.8315,0.8747,0.035
96,0.8395,0.8489,0.032
97,0.8395,0.8816,0.031
98,0.8395,0.8476,0.037
99,0.8615,0.8728,0.039
100,0.8635,0.8704,0.034
101,0.8915,0.9285,0.026
102,0.8915,0.901,0.027
103,0.8915,0.8976,0.031
104,0.9115,0.9197,0.037
105,0.9115,0.917,0.036
106,0.9125,0.9548,0.064
107,0.9125,0.9495,0.032
108,0.9125,0.9175,0.031
109,0.9255,0.9358,0.028
110,0.9455,0.9771,0.027
111,0.9495,0.9639,0.031
112,0.9525,0.9924,0.027
113,0.9765,0.9867,0.033
114,0.9785,0.9866,0.04
115,0.9795,1.0199,0.033
116,0.9815,1.0151,0.026
117,1.0175,1.063,0.064
118,1.0195,1.0353,0.028
119,1.0195,1.0558,0.055
120,1.0195,1.0388,0.122
121,1.0205,1.0436,0.193
122,1.0245,1.0406,0.122
123,1.0355,1.0458,0.058
124,1.0405,1.0709,0.028
125,1.0595,1.0968,0.026
126,1.0605,1.0691,0.052
127,1.0665,1.096,0.026
128,1.0705,1.1093,0.028
129,1.0765,1.0844,0.026
130,1.1145,1.1473,0.027
131,1.1155,1.155,0.029
132,1.1545,1.1637,0.027
133,1.1585,1.2007,0.03
134,1.1675,1.1972,0.031
135,1.1755,1.1842,0.026
136,1.1825,1.1905,0.026
137,1.1845,1.1944,0.035
138,1.1935,1.2006,0.032
139,1.1935,1.2032,0.043
140,1.1945,1.2031,0.027
141,1.2035,1.2352,0.029
142,1.2175,1.2584,0.026
143,1.2275,1.2591,0.029
144,1.2575,1.2882,0.027
145,1.2805,1.2874,0.064
146,1.2985,1.3053,0.033
147,1.2985,1.3079,0.034
148,1.3005,1.3404,0.031
149,1.3425,1.3769,0.027
150,1.3425,1.3506,0.04
151,1.3635,1.376,0.026
152,1.3915,1.4032,0.091
153,1.4085,1.4173,0.026
154,1.4115,1.418,0.026
155,1.4115,1.4486,0.03
156,1.4135,1.4251,0.073
