,start_times,end_times,det_probs
0,0.0015,0.0185,0.046
1,0.0015,0.0344,0.122
2,0.0015,0.0228,0.089
3,0.0015,0.0171,0.041
4,0.0085,0.0469,0.162
5,0.0085,0.0219,0.262
6,0.0085,0.0222,0.286
7,0.0095,0.031,0.037
8,0.0135,0.0458,0.049
9,0.0245,0.0352,0.046
10,0.0295,0.0396,0.051
11,0.0325,0.0706,0.037
12,0.0375,0.0475,0.132
13,0.0595,0.0677,0.052
14,0.0605,0.0684,0.053
15,0.0665,0.1058,0.054
16,0.0675,0.0739,0.045
17,0.0735,0.0844,0.071
18,0.0945,0.1079,0.158
19,0.0955,0.105,0.195
20,0.0955,0.1304,0.041
21,0.1345,0.1425,0.039
22,0.1365,0.1447,0.041
23,0.2065,0.2178,0.04
24,0.2165,0.2542,0.037
25,0.3375,0.3437,0.056
26,0.3435,0.3507,0.039
27,0.3655,0.4072,0.038
28,0.3665,0.3738,0.041
29,0.4005,0.41,0.038
30,0.4485,0.4894,0.037
31,0.4595,0.4992,0.037
32,0.4595,0.4684,0.048
33,0.4755,0.4822,0.035
34,0.4955,0.5023,0.035
35,0.5055,0.5127,0.035
36,0.5165,0.5321,0.049
37,0.5195,0.5316,0.069
38,0.5395,0.5576,0.143
39,0.5395,0.5894,0.194
40,0.5395,0.5534,0.116
41,0.5405,0.5678,0.047
42,0.5415,0.5619,0.308
43,0.5415,0.5898,0.076
44,0.5415,0.5551,0.244
45,0.5525,0.5667,0.102
46,0.5525,0.5889,0.055
47,0.5545,0.5941,0.094
48,0.5545,0.5699,0.091
49,0.5565,0.5647,0.057
50,0.5605,0.574,0.259
51,0.5605,0.5735,0.132
52,0.5645,0.574,0.07
53,0.5645,0.5981,0.104
54,0.5655,0.601,0.041
55,0.5715,0.5769,0.037
56,0.5755,0.5872,0.079
57,0.5875,0.5956,0.084
58,0.5885,0.5977,0.09
59,0.6125,0.6235,0.042
60,0.6445,0.6535,0.138
61,0.6445,0.6589,0.266
62,0.6455,0.6652,0.241
63,0.6455,0.6881,0.042
64,0.6465,0.681,0.216
65,0.6475,0.6931,0.163
66,0.6555,0.6995,0.1
67,0.6555,0.6648,0.053
68,0.6565,0.6668,0.121
69,0.6645,0.6756,0.053
70,0.6665,0.6842,0.053
71,0.6665,0.6734,0.038
72,0.6665,0.6814,0.171
73,0.6725,0.7144,0.111
74,0.6765,0.6872,0.063
75,0.6765,0.6908,0.082
76,0.6765,0.6826,0.05
77,0.6855,0.7257,0.115
78,0.6875,0.6988,0.071
79,0.6885,0.7018,0.088
80,0.6915,0.7039,0.04
81,0.6985,0.7072,0.059
82,0.7685,0.8029,0.036
83,0.7695,0.7805,0.082
84,0.7705,0.7806,0.248
85,0.7745,0.8111,0.041
86,0.7855,0.7932,0.041
87,0.8545,0.8617,0.036
88,0.9045,0.9477,0.036
89,0.9135,0.924,0.039
90,0.9145,0.9559,0.042
91,0.9155,0.9227,0.077
