,start_times,end_times,det_probs
0,0.0015,0.0341,0.142
1,0.0015,0.0193,0.164
2,0.0015,0.0156,0.04
3,0.0015,0.0117,0.082
4,0.0065,0.0292,0.182
5,0.0125,0.0546,0.066
6,0.0135,0.0248,0.188
7,0.0135,0.0577,0.13
8,0.0145,0.0255,0.091
9,0.0165,0.0258,0.063
10,0.0235,0.0476,0.117
11,0.0345,0.045,0.033
12,0.0375,0.0507,0.035
13,0.0395,0.0825,0.04
14,0.0525,0.0603,0.049
15,0.0635,0.0971,0.032
16,0.0645,0.0829,0.114
17,0.0645,0.1116,0.081
18,0.0645,0.0816,0.184
19,0.1265,0.1391,0.131
20,0.1275,0.1449,0.053
21,0.1515,0.1619,0.055
22,0.1525,0.162,0.033
23,0.1555,0.1907,0.03
24,0.1755,0.19,0.069
25,0.1965,0.2032,0.045
26,0.2095,0.2277,0.031
27,0.2125,0.2205,0.03
28,0.2215,0.2592,0.063
29,0.2215,0.2545,0.047
30,0.2215,0.234,0.095
31,0.2225,0.2342,0.05
32,0.2555,0.2957,0.032
33,0.2755,0.2814,0.099
34,0.2965,0.3293,0.035
35,0.3665,0.3993,0.031
36,0.3815,0.4242,0.032
37,0.3825,0.3919,0.03
38,0.4015,0.4103,0.068
39,0.4035,0.4365,0.036
40,0.4365,0.4516,0.106
41,0.4375,0.4743,0.063
42,0.4375,0.4654,0.051
43,0.4385,0.4537,0.117
44,0.4565,0.494,0.031
45,0.4585,0.4937,0.031
46,0.4595,0.4676,0.033
47,0.4665,0.507,0.036
48,0.5065,0.5157,0.034
49,0.5075,0.5413,0.036
50,0.5085,0.5153,0.039
51,0.5095,0.5502,0.039
52,0.5475,0.5903,0.041
53,0.5515,0.5871,0.036
54,0.6035,0.644,0.03
55,0.6045,0.6124,0.03
56,0.6475,0.6816,0.031
57,0.6525,0.6625,0.053
58,0.6525,0.6614,0.048
59,0.6635,0.6988,0.031
60,0.6805,0.7227,0.03
61,0.6865,0.6944,0.032
62,0.6885,0.7304,0.031
63,0.6915,0.6984,0.063
64,0.6925,0.7258,0.036
65,0.7335,0.746,0.043
66,0.7355,0.7709,0.062
67,0.7365,0.7447,0.034
68,0.7785,0.8102,0.03
69,0.8195,0.83,0.079
70,0.8255,0.8657,0.033
71,0.8265,0.836,0.031
72,0.8445,0.8791,0.033
73,0.8465,0.8611,0.104
74,0.8475,0.8829,0.04
75,0.8495,0.8626,0.081
76,0.8505,0.8875,0.034
77,0.8715,0.8811,0.036
78,0.8725,0.878,0.054
79,0.8725,0.9097,0.039
80,0.8755,0.9074,0.031
81,0.8995,0.9072,0.039
82,0.9185,0.9288,0.037
83,0.9495,0.9615,0.089
84,0.9555,0.9927,0.039
85,0.9585,0.9768,0.235
86,0.9595,0.9981,0.059
87,0.9705,0.9771,0.039
88,0.9715,1.0051,0.045
89,0.9715,1.0062,0.036
90,0.9715,0.9803,0.031
91,1.0115,1.0425,0.031
92,1.0145,1.0214,0.051
93,1.0205,1.0342,0.043
94,1.0305,1.0435,0.037
