,start_times,end_times,det_probs
0,0.0015,0.0304,0.048
1,0.0015,0.0352,0.148
2,0.0035,0.0298,0.124
3,0.0045,0.0221,0.102
4,0.0055,0.0196,0.276
5,0.0065,0.0197,0.181
6,0.0105,0.0494,0.079
7,0.0125,0.0289,0.032
8,0.0265,0.0372,0.088
9,0.0275,0.038,0.03
10,0.0525,0.0646,0.111
11,0.0545,0.0614,0.04
12,0.0645,0.098,0.029
13,0.0785,0.0978,0.137
14,0.0785,0.0918,0.169
15,0.0795,0.1183,0.04
16,0.0995,0.1091,0.033
17,0.1095,0.12,0.054
18,0.1105,0.1182,0.06
19,0.1115,0.1492,0.031
20,0.1425,0.1759,0.04
21,0.1445,0.161,0.031
22,0.1605,0.168,0.033
23,0.1605,0.1986,0.032
24,0.1665,0.1989,0.032
25,0.1705,0.1826,0.041
26,0.1775,0.19,0.044
27,0.2085,0.2439,0.037
28,0.2135,0.2326,0.254
29,0.2135,0.2341,0.081
30,0.2155,0.2562,0.163
31,0.2195,0.2357,0.164
32,0.2305,0.2653,0.082
33,0.2325,0.2687,0.039
34,0.2345,0.2526,0.097
35,0.2385,0.2531,0.052
36,0.2425,0.2796,0.037
37,0.2435,0.2837,0.047
38,0.2475,0.2635,0.042
39,0.2485,0.2591,0.054
40,0.2505,0.2636,0.066
41,0.2525,0.2852,0.033
42,0.2655,0.304,0.042
43,0.2665,0.3054,0.044
44,0.2685,0.2805,0.095
45,0.2685,0.2818,0.07
46,0.2835,0.3174,0.039
47,0.2845,0.2969,0.033
48,0.2935,0.3,0.032
49,0.2945,0.3301,0.035
50,0.2945,0.3047,0.03
51,0.3305,0.3436,0.057
52,0.3325,0.341,0.042
53,0.3345,0.3751,0.032
54,0.3695,0.3775,0.034
55,0.3805,0.3916,0.041
56,0.3845,0.3914,0.106
57,0.3845,0.4273,0.054
58,0.3865,0.4189,0.032
59,0.3985,0.4357,0.029
60,0.4285,0.4368,0.034
61,0.4625,0.501,0.03
62,0.4625,0.4871,0.3
63,0.4645,0.5045,0.086
64,0.4645,0.4712,0.037
65,0.4645,0.4849,0.047
66,0.4655,0.4849,0.298
67,0.4655,0.4779,0.041
68,0.4805,0.5169,0.029
69,0.4845,0.5047,0.273
70,0.4885,0.5303,0.121
71,0.4905,0.5291,0.03
72,0.4925,0.5083,0.082
73,0.4925,0.5097,0.091
74,0.4955,0.5021,0.033
75,0.5005,0.5121,0.087
76,0.5005,0.5369,0.137
77,0.5025,0.5096,0.077
78,0.5035,0.5165,0.137
79,0.5065,0.5218,0.04
80,0.5115,0.5481,0.033
81,0.5145,0.5193,0.136
82,0.5165,0.5301,0.077
83,0.5225,0.5335,0.029
84,0.5235,0.5322,0.039
85,0.5385,0.5753,0.054
86,0.5405,0.5481,0.035
87,0.5415,0.576,0.03
88,0.5475,0.5582,0.032
89,0.5575,0.5745,0.053
90,0.5575,0.5988,0.033
91,0.5735,0.6101,0.034
92,0.5895,0.6012,0.06
93,0.5985,0.6093,0.067
94,0.6005,0.6077,0.067
95,0.6005,0.6461,0.062
96,0.6035,0.6362,0.04
97,0.6885,0.7294,0.035
98,0.7135,0.7251,0.037
99,0.7155,0.7228,0.035
100,0.7275,0.7357,0.033
101,0.7275,0.734,0.03
102,0.7715,0.7801,0.029
103,0.7745,0.8062,0.03
104,0.7835,0.7987,0.132
105,0.7845,0.7953,0.036
106,0.7895,0.8286,0.029
107,0.7905,0.7983,0.031
108,0.8075,0.829,0.056
109,0.8095,0.8262,0.041
110,0.8105,0.821,0.159
111,0.8135,0.8575,0.155
112,0.8165,0.8549,0.042
113,0.8195,0.8348,0.064
114,0.8205,0.8667,0.152
115,0.8235,0.8416,0.045
116,0.8235,0.8388,0.057
117,0.8285,0.847,0.117
118,0.8325,0.8431,0.038
119,0.8405,0.8519,0.047
120,0.8425,0.8833,0.074
121,0.8435,0.8776,0.034
122,0.8505,0.8817,0.033
123,0.8535,0.8648,0.03
124,0.8545,0.8679,0.044
125,0.8625,0.8726,0.053
126,0.8645,0.9005,0.035
127,0.8645,0.8874,0.082
128,0.8655,0.9082,0.04
129,0.8755,0.8895,0.173
130,0.8785,0.9186,0.045
131,0.8835,0.9194,0.036
132,0.8855,0.9001,0.147
133,0.8905,0.9017,0.076
134,0.9235,0.9671,0.032
135,0.9285,0.9613,0.033
136,0.9725,0.9851,0.32
137,0.9725,0.9853,0.249
