,start_times,end_times,det_probs
0,0.0015,0.0143,0.213
1,0.0015,0.0401,0.155
2,0.0015,0.02,0.079
3,0.0045,0.0219,0.129
4,0.0065,0.0157,0.326
5,0.0115,0.0459,0.039
6,0.0215,0.0389,0.204
7,0.0235,0.0587,0.035
8,0.0295,0.0387,0.036
9,0.0425,0.0886,0.185
10,0.0425,0.0563,0.085
11,0.0435,0.0552,0.078
12,0.0445,0.0541,0.051
13,0.0575,0.0703,0.159
14,0.0615,0.0692,0.035
15,0.0635,0.0994,0.04
16,0.0655,0.0977,0.031
17,0.0695,0.0795,0.031
18,0.0915,0.1291,0.031
19,0.0955,0.1109,0.109
20,0.1405,0.1833,0.056
21,0.1435,0.1582,0.339
22,0.1445,0.1592,0.074
23,0.1445,0.1567,0.2
24,0.1455,0.1822,0.081
25,0.1465,0.1852,0.063
26,0.1535,0.161,0.074
27,0.1555,0.1844,0.056
28,0.1825,0.2151,0.036
29,0.1845,0.2232,0.035
30,0.1965,0.2048,0.03
31,0.2245,0.2656,0.042
32,0.2355,0.2497,0.057
33,0.2675,0.2782,0.043
34,0.2705,0.2792,0.034
35,0.3085,0.3469,0.035
36,0.3295,0.3455,0.139
37,0.3295,0.3427,0.12
38,0.3325,0.372,0.033
39,0.3635,0.4026,0.03
40,0.3645,0.3991,0.047
41,0.4325,0.4392,0.031
42,0.4375,0.4434,0.061
43,0.4545,0.4961,0.041
44,0.4565,0.4679,0.037
45,0.4635,0.4725,0.031
46,0.4775,0.5164,0.032
47,0.5035,0.5096,0.035
48,0.5055,0.5117,0.044
49,0.5135,0.544,0.043
50,0.5165,0.554,0.033
51,0.5355,0.5457,0.035
52,0.5395,0.5493,0.063
53,0.5415,0.5798,0.03
54,0.5565,0.5901,0.033
55,0.5715,0.5812,0.031
56,0.5765,0.5848,0.036
57,0.5925,0.6033,0.031
58,0.6145,0.6546,0.046
59,0.6185,0.6318,0.289
60,0.6215,0.6425,0.169
61,0.6235,0.6354,0.051
62,0.6235,0.658,0.244
63,0.6235,0.6347,0.094
64,0.6255,0.6657,0.064
65,0.6315,0.6429,0.068
66,0.6665,0.6888,0.062
67,0.6685,0.7111,0.105
68,0.6695,0.6833,0.09
69,0.6705,0.7059,0.04
70,0.6745,0.6894,0.063
71,0.6785,0.6934,0.089
72,0.6795,0.716,0.043
73,0.6835,0.6925,0.065
74,0.6855,0.7013,0.057
75,0.7085,0.741,0.033
76,0.7145,0.7242,0.032
77,0.7165,0.7249,0.034
78,0.7185,0.7297,0.031
79,0.7485,0.791,0.042
80,0.7535,0.7929,0.043
81,0.8135,0.8228,0.032
82,0.8365,0.8451,0.041
83,0.8535,0.8642,0.044
84,0.8685,0.879,0.031
85,0.8885,0.9072,0.24
86,0.8895,0.9268,0.158
87,0.8895,0.9323,0.053
88,0.8895,0.9012,0.054
89,0.8905,0.9101,0.283
90,0.8915,0.8978,0.048
91,0.8975,0.9223,0.087
92,0.8975,0.9105,0.055
93,0.9015,0.9261,0.184
94,0.9035,0.9203,0.104
95,0.9045,0.9121,0.034
96,0.9055,0.9194,0.045
97,0.9085,0.9238,0.04
98,0.9085,0.921,0.054
99,0.9155,0.924,0.049
100,0.9165,0.9265,0.113
101,0.9175,0.9444,0.069
102,0.9205,0.9312,0.054
103,0.9515,0.9833,0.034
104,0.9585,0.9731,0.228
105,0.9585,0.974,0.174
106,0.9585,1.0001,0.05
107,0.9595,0.9935,0.038
108,0.9705,0.9822,0.038
109,0.9715,1.0124,0.033
110,0.9785,0.9902,0.063
111,0.9795,1.0245,0.039
112,0.9795,0.9899,0.055
113,0.9805,0.9934,0.07
114,0.9935,1.004,0.033
115,0.9945,1.0068,0.035
116,0.9955,1.0321,0.056
117,0.9955,1.036,0.044
118,1.0315,1.0655,0.033
119,1.0385,1.0466,0.054
120,1.0585,1.072,0.039
121,1.0595,1.1015,0.049
122,1.0595,1.0675,0.041
123,1.0605,1.095,0.032
124,1.0765,1.1094,0.03
125,1.0795,1.0862,0.034
126,1.0805,1.0886,0.048
127,1.1065,1.1135,0.044
128,1.1075,1.124,0.347
129,1.1085,1.12,0.062
130,1.1105,1.1561,0.119
