,start_times,end_times,det_probs
0,0.0015,0.007,0.057
1,0.0015,0.0154,0.033
2,0.0015,0.016,0.129
3,0.0015,0.0328,0.067
4,0.0035,0.0185,0.183
5,0.0075,0.0126,0.077
6,0.0075,0.0428,0.068
7,0.0075,0.0207,0.122
8,0.0205,0.0523,0.036
9,0.0255,0.0629,0.039
10,0.0315,0.0418,0.059
11,0.0505,0.0646,0.162
12,0.0695,0.0774,0.032
13,0.0865,0.119,0.031
14,0.0865,0.0918,0.078
15,0.0885,0.106,0.135
16,0.0965,0.1287,0.033
17,0.0965,0.1113,0.1
18,0.0965,0.1085,0.053
19,0.0995,0.1369,0.035
20,0.1835,0.1911,0.038
21,0.1865,0.198,0.052
22,0.1925,0.1996,0.032
23,0.2565,0.2962,0.036
24,0.2565,0.2627,0.04
25,0.2575,0.2906,0.031
26,0.2615,0.2728,0.043
27,0.2705,0.2794,0.038
28,0.2715,0.3041,0.031
29,0.2725,0.3122,0.043
30,0.2755,0.2836,0.037
31,0.2895,0.2976,0.033
32,0.3065,0.315,0.032
33,0.3165,0.3256,0.036
34,0.3175,0.3517,0.039
35,0.3175,0.328,0.054
36,0.3445,0.3525,0.055
37,0.3545,0.3627,0.034
38,0.3555,0.3881,0.043
39,0.3725,0.387,0.034
40,0.3865,0.3965,0.24
41,0.3875,0.4228,0.031
42,0.3875,0.4253,0.033
43,0.3875,0.3995,0.114
44,0.4045,0.4117,0.048
45,0.4195,0.4271,0.033
46,0.4205,0.4642,0.037
47,0.4375,0.4792,0.035
48,0.4505,0.4613,0.059
49,0.4795,0.4918,0.036
50,0.4905,0.5253,0.046
51,0.4945,0.5436,0.117
52,0.4975,0.512,0.145
53,0.4975,0.5074,0.093
54,0.4975,0.5086,0.249
55,0.4995,0.5094,0.159
56,0.5215,0.5331,0.05
57,0.5225,0.5541,0.032
58,0.5265,0.5367,0.056
59,0.6235,0.6327,0.036
60,0.6295,0.6668,0.032
61,0.6445,0.6773,0.034
62,0.6455,0.657,0.035
63,0.6795,0.6871,0.037
64,0.6805,0.6901,0.036
65,0.6825,0.6909,0.039
66,0.7385,0.7473,0.034
67,0.7495,0.7561,0.032
68,0.7805,0.7861,0.043
69,0.7805,0.7891,0.033
70,0.7835,0.8157,0.037
71,0.8365,0.8446,0.034
72,0.8425,0.8818,0.043
73,0.8885,0.8978,0.055
74,0.9045,0.9254,0.157
75,0.9075,0.9208,0.048
76,0.9075,0.9403,0.036
77,0.9205,0.9299,0.036
78,0.9255,0.9568,0.033
79,0.9315,0.9796,0.17
80,0.9335,0.9739,0.05
81,0.9345,0.9458,0.112
82,0.9345,0.9613,0.197
83,0.9345,0.9529,0.24
84,0.9375,0.9602,0.033
85,0.9385,0.9633,0.241
86,0.9415,0.9538,0.067
87,0.9445,0.9592,0.062
88,0.9485,0.9836,0.138
89,0.9515,0.9649,0.089
90,0.9515,0.9612,0.077
91,0.9515,0.9627,0.129
92,0.9545,0.9854,0.13
93,0.9575,0.9678,0.122
94,0.9575,0.9667,0.159
95,0.9675,0.9773,0.107
96,0.9695,0.9752,0.032
97,1.0005,1.0363,0.033
98,1.0155,1.0279,0.097
99,1.0175,1.0535,0.032
100,1.0175,1.0275,0.115
101,1.0185,1.0586,0.058
102,1.0335,1.0405,0.04
103,1.0335,1.0438,0.038
104,1.0615,1.1037,0.035
105,1.0635,1.0715,0.031
