,start_times,end_times,det_probs
0,0.0015,0.012,0.074
1,0.0125,0.0363,0.057
2,0.0595,0.0739,0.154
3,0.0735,0.082,0.071
4,0.0885,0.0973,0.099
5,0.0995,0.1065,0.061
6,0.1295,0.1675,0.058
7,0.1295,0.1483,0.068
8,0.1305,0.1433,0.267
9,0.1305,0.1759,0.064
10,0.1315,0.1486,0.105
11,0.1315,0.1529,0.056
12,0.1315,0.1403,0.303
13,0.1355,0.1641,0.072
14,0.1445,0.1574,0.065
15,0.1745,0.1901,0.057
16,0.2115,0.2235,0.068
17,0.2275,0.2392,0.064
18,0.2405,0.2523,0.11
19,0.2435,0.2511,0.141
20,0.2605,0.274,0.097
21,0.2765,0.283,0.058
22,0.2885,0.2954,0.057
23,0.4015,0.4121,0.064
24,0.4235,0.4393,0.2
25,0.4245,0.4667,0.091
26,0.4285,0.4532,0.19
27,0.4325,0.4576,0.08
28,0.4395,0.4537,0.068
29,0.4415,0.4515,0.06
30,0.4455,0.4806,0.057
31,0.4585,0.4742,0.096
32,0.4585,0.4712,0.222
33,0.4595,0.468,0.129
34,0.4605,0.4945,0.069
35,0.4665,0.4971,0.059
36,0.4755,0.4921,0.059
37,0.4795,0.4897,0.066
38,0.5165,0.5248,0.079
39,0.5345,0.542,0.067
40,0.5935,0.6123,0.092
41,0.5935,0.6068,0.174
42,0.5945,0.6315,0.082
43,0.6045,0.6277,0.07
44,0.6045,0.6177,0.057
45,0.6285,0.6371,0.193
46,0.6295,0.6699,0.072
47,0.6295,0.6674,0.118
48,0.6295,0.6395,0.158
49,0.6295,0.6419,0.193
50,0.6375,0.6503,0.105
51,0.6415,0.6493,0.104
52,0.6415,0.6503,0.139
53,0.6425,0.6756,0.08
54,0.6465,0.6522,0.071
55,0.6555,0.6896,0.082
56,0.6575,0.6652,0.117
57,0.6575,0.6686,0.173
58,0.7025,0.7183,0.06
59,0.7125,0.7308,0.093
60,0.7145,0.7256,0.132
61,0.7615,0.804,0.143
62,0.7625,0.7994,0.078
63,0.7635,0.7854,0.157
64,0.7635,0.7869,0.13
65,0.7765,0.7838,0.063
66,0.7795,0.7856,0.129
67,0.8135,0.8296,0.112
68,0.8135,0.8266,0.08
69,0.8535,0.8614,0.057
70,0.8775,0.8843,0.065
71,0.8855,0.8923,0.058
72,0.9005,0.9444,0.067
73,0.9005,0.9123,0.158
74,0.9005,0.914,0.203
75,0.9015,0.9235,0.075
76,0.9015,0.9169,0.121
77,0.9025,0.9403,0.124
78,0.9125,0.9263,0.077
79,0.9245,0.9325,0.093
80,0.9255,0.9337,0.143
81,0.9265,0.96,0.064
82,0.9345,0.9464,0.066
83,0.9505,0.9586,0.083
84,0.9795,0.9983,0.275
85,0.9875,0.9951,0.16
86,0.9875,0.9995,0.156
87,0.9905,1.0004,0.096
88,0.9935,1.0374,0.058
89,0.9955,1.0038,0.072
90,0.9955,1.0069,0.096
91,0.9965,1.0055,0.103
92,1.0135,1.022,0.065
93,1.0195,1.0265,0.069
94,1.0285,1.0403,0.091
95,1.0395,1.0879,0.06
96,1.0425,1.0483,0.085
97,1.0445,1.0519,0.067
98,1.0525,1.0601,0.061
99,1.0705,1.0767,0.06
