,start_times,end_times,det_probs
0,0.0015,0.0294,0.102
1,0.0065,0.0184,0.307
2,0.0075,0.0196,0.113
3,0.0105,0.034,0.106
4,0.0175,0.028,0.114
5,0.0265,0.0403,0.096
6,0.0295,0.0597,0.136
7,0.0305,0.0435,0.135
8,0.0835,0.0996,0.255
9,0.0845,0.097,0.126
10,0.1545,0.201,0.187
11,0.1565,0.174,0.183
12,0.1575,0.1681,0.159
13,0.1575,0.1788,0.117
14,0.1605,0.1938,0.076
15,0.1625,0.1768,0.08
16,0.1705,0.1824,0.192
17,0.1705,0.1837,0.106
18,0.1725,0.1814,0.113
19,0.1725,0.1829,0.13
20,0.1825,0.1948,0.081
21,0.1855,0.2183,0.112
22,0.1955,0.2053,0.142
23,0.1955,0.2323,0.214
24,0.2035,0.2103,0.087
25,0.2315,0.2424,0.083
26,0.2335,0.2472,0.122
27,0.2385,0.2463,0.078
28,0.2715,0.311,0.078
29,0.2715,0.2791,0.076
30,0.3025,0.3119,0.107
31,0.3025,0.3144,0.338
32,0.3035,0.3453,0.1
33,0.3045,0.3136,0.14
34,0.3125,0.3231,0.098
35,0.3155,0.326,0.082
36,0.3155,0.32,0.112
37,0.3165,0.3217,0.082
38,0.3195,0.3593,0.078
39,0.3225,0.3593,0.094
40,0.3245,0.3305,0.139
41,0.3255,0.3348,0.144
42,0.3265,0.331,0.089
43,0.3275,0.3395,0.156
44,0.3375,0.3482,0.123
45,0.3705,0.4084,0.078
46,0.3745,0.3896,0.102
47,0.3805,0.4196,0.082
48,0.3845,0.4288,0.079
49,0.3845,0.3928,0.075
50,0.3915,0.3992,0.078
51,0.4205,0.4657,0.154
52,0.4235,0.4343,0.138
53,0.4235,0.4471,0.082
54,0.4325,0.4462,0.095
55,0.4335,0.4414,0.123
56,0.4355,0.4458,0.201
57,0.4445,0.4531,0.135
58,0.4605,0.4994,0.075
59,0.4745,0.5123,0.081
60,0.4755,0.4852,0.082
61,0.4795,0.486,0.078
62,0.4885,0.5005,0.124
63,0.4925,0.5198,0.12
64,0.4925,0.5043,0.096
65,0.5875,0.601,0.108
66,0.5925,0.6009,0.285
67,0.6075,0.6195,0.111
68,0.6465,0.6907,0.095
69,0.6545,0.6655,0.219
70,0.6675,0.6796,0.078
71,0.6685,0.6764,0.107
72,0.9615,0.9717,0.123
73,0.9625,1.0014,0.081
74,0.9625,0.9861,0.11
75,0.9635,0.9723,0.119
76,0.9655,0.9824,0.206
77,0.9755,1.0061,0.074
78,0.9805,0.9961,0.182
79,0.9845,0.9978,0.124
80,0.9855,0.9978,0.169
81,0.9975,1.0063,0.102
82,1.0005,1.0111,0.209
83,1.0015,1.0072,0.104
84,1.0025,1.0145,0.107
85,1.0095,1.0383,0.134
86,1.0115,1.0237,0.089
87,1.0155,1.0248,0.074
88,1.0365,1.0454,0.074
89,1.0765,1.0907,0.129
90,1.0775,1.087,0.12
91,1.0925,1.1331,0.082
92,1.0985,1.1108,0.095
93,1.1015,1.1128,0.091
94,1.1085,1.1178,0.09
95,1.1285,1.1397,0.141
96,1.1485,1.1535,0.083
97,1.1555,1.1707,0.2
98,1.1635,1.1715,0.089
99,1.1775,1.188,0.165
100,1.1985,1.2058,0.077
101,1.2765,1.3222,0.144
102,1.2775,1.2919,0.213
103,1.2805,1.2953,0.157
104,1.2815,1.2909,0.105
105,1.2915,1.3029,0.098
106,1.2925,1.3222,0.082
107,1.3065,1.3197,0.329
108,1.3075,1.3321,0.178
109,1.3075,1.3194,0.147
110,1.3085,1.3188,0.245
111,1.3085,1.3464,0.141
112,1.3115,1.3233,0.219
113,1.3185,1.3269,0.091
114,1.3195,1.3272,0.093
115,1.3215,1.3466,0.115
116,1.3295,1.3398,0.168
117,1.3305,1.3368,0.087
118,1.3305,1.3394,0.131
119,1.3325,1.3502,0.165
120,1.3425,1.376,0.126
121,1.3775,1.4192,0.13
122,1.3825,1.3939,0.079
123,1.4035,1.4454,0.144
124,1.4085,1.4243,0.124
125,1.4095,1.4318,0.118
126,1.4165,1.4284,0.305
127,1.4165,1.4314,0.075
128,1.4195,1.4344,0.144
129,1.4205,1.4433,0.136
130,1.4235,1.4498,0.101
131,1.4325,1.4451,0.076
132,1.4415,1.4531,0.082
133,1.4415,1.4607,0.097
134,1.4445,1.4816,0.123
135,1.4485,1.4554,0.079
136,1.4495,1.4614,0.109
137,1.4565,1.499,0.111
138,1.4565,1.4678,0.137
139,1.4755,1.4875,0.084
140,1.4755,1.4878,0.148
141,1.4765,1.4953,0.132
142,1.4775,1.4885,0.15
143,1.4895,1.5025,0.085
144,1.5015,1.5086,0.078
145,1.5155,1.5197,0.092
146,1.5945,1.6069,0.247
147,1.5985,1.6077,0.22
148,1.6045,1.6328,0.09
149,1.6165,1.6267,0.113
150,1.6165,1.624,0.103
151,1.6955,1.7402,0.14
152,1.6985,1.7087,0.156
153,1.6985,1.7154,0.246
154,1.6995,1.713,0.229
155,1.7095,1.7223,0.084
156,1.7145,1.7266,0.094
157,1.7155,1.7263,0.116
158,1.7175,1.7528,0.084
159,1.7185,1.7322,0.078
160,1.7215,1.7358,0.082
161,1.7235,1.7556,0.075
162,1.7285,1.7403,0.124
163,1.7315,1.7412,0.142
164,1.7325,1.7465,0.112
165,1.7345,1.7437,0.191
166,1.7365,1.7496,0.13
167,1.7435,1.7541,0.11
168,1.7805,1.7907,0.082
169,1.7825,1.7917,0.228
170,1.7825,1.8182,0.157
171,1.8065,1.8162,0.074
172,1.9295,1.9716,0.094
173,1.9295,1.9657,0.256
174,1.9315,1.9414,0.101
175,1.9325,1.9518,0.17
176,1.9445,1.9776,0.075
177,1.9455,1.9564,0.191
178,1.9485,1.9586,0.082
179,1.9495,1.9863,0.077
180,1.9855,2.0261,0.152
181,1.9885,2.0016,0.149
182,1.9885,1.9987,0.095
183,1.9895,2.0027,0.174
184,1.9985,2.0067,0.133
185,1.9995,2.0079,0.074
186,1.9995,2.007,0.181
187,2.0725,2.1169,0.167
188,2.0735,2.0907,0.196
189,2.0745,2.0902,0.105
190,2.0745,2.0838,0.096
191,2.0845,2.0927,0.141
192,2.0865,2.1001,0.139
193,2.0895,2.1312,0.081
194,2.0935,2.0996,0.087
195,2.0945,2.1048,0.117
196,2.0955,2.1325,0.093
197,2.1105,2.1171,0.199
198,2.1105,2.1171,0.094
199,2.1325,2.1704,0.089
200,2.1965,2.2391,0.1
201,2.2015,2.2144,0.146
202,2.2045,2.2506,0.121
203,2.2055,2.2204,0.132
204,2.2295,2.2421,0.193
205,2.2305,2.2722,0.09
206,2.3175,2.3347,0.202
207,2.3185,2.3292,0.208
208,2.3275,2.3344,0.075
209,2.3305,2.3394,0.11
210,2.3815,2.3947,0.228
211,2.3815,2.4235,0.136
212,2.3825,2.3967,0.213
213,2.3925,2.4064,0.164
214,2.3955,2.4036,0.079
215,2.3955,2.4119,0.122
216,2.3965,2.4209,0.113
217,2.4025,2.4149,0.123
218,2.4025,2.4301,0.093
219,2.4055,2.4153,0.101
220,2.4835,2.5232,0.105
221,2.4915,2.5068,0.192
222,2.4915,2.4999,0.119
223,2.4925,2.5042,0.186
224,2.5025,2.5107,0.089
225,2.5035,2.5419,0.079
226,2.5335,2.5728,0.183
227,2.5375,2.5477,0.124
228,2.5375,2.5523,0.144
229,2.5385,2.546,0.091
230,2.5515,2.5594,0.107
231,2.6095,2.6553,0.154
232,2.6125,2.6275,0.301
233,2.6125,2.624,0.183
234,2.6135,2.6213,0.154
235,2.6145,2.6209,0.104
236,2.6225,2.6362,0.165
237,2.6275,2.6625,0.111
238,2.6275,2.639,0.167
239,2.6275,2.64,0.14
240,2.6325,2.665,0.109
241,2.6615,2.6971,0.133
242,2.6635,2.6725,0.175
243,2.6635,2.6772,0.263
244,2.6645,2.6729,0.098
245,2.7045,2.7431,0.242
246,2.7055,2.7192,0.31
247,2.7075,2.7223,0.184
248,2.7155,2.7236,0.114
249,2.7155,2.7289,0.142
250,2.7185,2.7306,0.112
251,2.7255,2.7347,0.115
252,2.7255,2.7315,0.214
253,2.7275,2.7435,0.09
254,2.7275,2.738,0.125
255,2.7365,2.7457,0.115
256,2.7555,2.7936,0.19
257,2.7605,2.7697,0.155
258,2.7605,2.7724,0.289
259,2.7605,2.7672,0.237
260,2.7715,2.7811,0.084
261,2.7805,2.79,0.106
262,2.7945,2.8025,0.076
263,2.8235,2.8288,0.136
264,2.8245,2.8351,0.142
265,2.8515,2.8701,0.084
266,2.8865,2.8937,0.074
267,2.9115,2.9172,0.083
268,2.9265,2.9332,0.081
269,3.1225,3.1311,0.138
270,3.1545,3.1717,0.121
271,3.1545,3.1687,0.079
272,3.1575,3.1855,0.121
273,3.1675,3.1798,0.117
274,3.1755,3.1846,0.076
275,3.1775,3.195,0.099
276,3.1775,3.2147,0.116
277,3.1905,3.2219,0.092
278,3.1905,3.2049,0.081
279,3.1905,3.1991,0.186
280,3.1905,3.195,0.087
281,3.1905,3.1991,0.108
282,3.1985,3.2107,0.143
283,3.1985,3.2375,0.076
284,3.1995,3.2089,0.089
285,3.1995,3.2132,0.083
286,3.2115,3.2179,0.087
287,3.2955,3.3392,0.096
288,3.2975,3.3055,0.08
289,3.3025,3.3091,0.216
290,3.3095,3.3172,0.082
291,3.3455,3.3534,0.074
292,3.4275,3.4363,0.124
293,3.4285,3.4456,0.241
294,3.4285,3.4671,0.155
295,3.4305,3.4417,0.118
296,3.4475,3.4581,0.085
297,3.4695,3.5061,0.095
298,3.4805,3.4891,0.079
299,3.4945,3.5212,0.152
300,3.4945,3.5081,0.128
301,3.4965,3.5101,0.144
302,3.5375,3.579,0.111
303,3.5395,3.5621,0.125
304,3.5395,3.5506,0.158
305,3.5425,3.5843,0.114
306,3.5425,3.5528,0.164
307,3.5565,3.5682,0.137
308,3.5615,3.5719,0.128
309,3.5655,3.5818,0.161
310,3.5705,3.5807,0.148
311,3.5725,3.5845,0.141
312,3.5725,3.6071,0.223
313,3.5835,3.5964,0.104
314,3.5955,3.6034,0.125
315,3.6645,3.682,0.112
316,3.6655,3.6769,0.123
317,3.6695,3.7044,0.074
318,3.6715,3.7122,0.084
319,3.7175,3.7295,0.119
320,3.7195,3.7297,0.091
321,3.7905,3.8308,0.141
322,3.7925,3.8054,0.144
323,3.7945,3.8106,0.206
324,3.7955,3.8388,0.086
325,3.8025,3.8161,0.124
326,3.8075,3.8175,0.142
327,3.8085,3.8184,0.17
328,3.8115,3.8431,0.109
329,3.8325,3.8713,0.135
330,3.8335,3.8448,0.08
331,3.8705,3.8835,0.075
332,3.8945,3.9004,0.085
333,3.9165,3.9286,0.165
334,3.9185,3.9656,0.192
335,3.9195,3.9594,0.125
336,3.9215,3.9357,0.132
337,3.9435,3.9798,0.196
338,3.9455,3.9637,0.088
339,3.9465,3.9592,0.102
340,3.9605,3.997,0.133
341,3.9755,3.9884,0.082
342,3.9775,3.9927,0.214
343,3.9795,4.0149,0.093
344,3.9985,4.0317,0.09
345,4.0035,4.02,0.125
346,4.0135,4.0399,0.198
347,4.0145,4.024,0.131
348,4.0165,4.0304,0.094
349,4.0355,4.0569,0.075
350,4.0555,4.0693,0.098
351,4.0675,4.0824,0.117
352,4.0825,4.0928,0.117
353,4.0875,4.0967,0.098
354,4.0905,4.1355,0.103
355,4.0965,4.1047,0.085
356,4.1125,4.1264,0.131
357,4.1135,4.1275,0.084
358,4.1165,4.1537,0.082
359,4.1195,4.1315,0.101
360,4.1405,4.1484,0.101
361,4.1585,4.195,0.148
362,4.1625,4.1681,0.074
363,4.1635,4.1764,0.08
364,4.1635,4.1777,0.174
365,4.1715,4.1799,0.096
366,4.2125,4.2328,0.204
367,4.2235,4.2638,0.076
368,4.2515,4.2888,0.103
369,4.2555,4.2612,0.074
370,4.2815,4.3225,0.075
371,4.2815,4.2897,0.076
372,4.3215,4.3421,0.193
373,4.3245,4.3668,0.102
374,4.3255,4.3379,0.219
375,4.3275,4.3398,0.115
376,4.3375,4.346,0.078
377,4.3455,4.3561,0.117
378,4.3475,4.3602,0.143
379,4.3495,4.3595,0.114
380,4.3525,4.3675,0.125
381,4.3575,4.3711,0.133
382,4.3575,4.3657,0.096
383,4.3615,4.3928,0.127
384,4.3645,4.369,0.116
385,4.3645,4.378,0.106
386,4.3685,4.379,0.152
387,4.3975,4.4374,0.104
388,4.3975,4.4049,0.088
389,4.4095,4.4196,0.078
390,4.4585,4.5,0.308
391,4.4605,4.4746,0.132
392,4.4605,4.4681,0.101
393,4.4605,4.4737,0.217
394,4.4795,4.494,0.181
395,4.4815,4.4931,0.17
396,4.4815,4.4998,0.149
397,4.4825,4.5109,0.123
398,4.4885,4.5005,0.092
399,4.4905,4.5015,0.084
400,4.4905,4.5144,0.082
401,4.5335,4.5443,0.109
402,4.5345,4.5456,0.091
403,4.6535,4.661,0.128
404,4.6545,4.6666,0.12
405,4.6545,4.703,0.105
406,4.6705,4.6835,0.172
407,4.6715,4.6825,0.134
408,4.6715,4.6853,0.231
409,4.6735,4.705,0.104
410,4.6795,4.6917,0.077
411,4.6865,4.7041,0.085
412,4.7325,4.7447,0.165
413,4.7345,4.7553,0.109
414,4.7485,4.7648,0.179
415,4.7505,4.7887,0.121
416,4.7525,4.766,0.117
417,4.7545,4.7638,0.089
418,4.7665,4.7805,0.201
419,4.7725,4.8082,0.148
420,4.7775,4.7888,0.077
421,4.7775,4.7869,0.144
422,4.7795,4.7937,0.109
423,4.7895,4.8018,0.116
424,4.7935,4.8038,0.117
425,4.7955,4.8111,0.181
426,4.7965,4.8336,0.148
427,4.8005,4.811,0.081
428,4.8035,4.8116,0.106
429,4.8055,4.816,0.139
430,4.8145,4.8251,0.082
431,4.8295,4.8409,0.163
432,4.8295,4.835,0.08
433,4.8295,4.8668,0.108
434,4.8315,4.8441,0.118
435,4.8705,4.8855,0.104
436,4.9985,5.0383,0.17
437,4.9985,5.0069,0.218
438,4.9985,5.0127,0.226
439,5.0005,5.0156,0.099
440,5.0005,5.0157,0.153
441,5.0095,5.0224,0.105
442,5.0105,5.0248,0.084
443,5.0155,5.0303,0.133
444,5.0215,5.0432,0.123
445,5.0295,5.0427,0.083
446,5.0295,5.035,0.097
447,5.0305,5.04,0.095
448,5.0305,5.0588,0.163
449,5.0385,5.051,0.135
450,5.0405,5.0558,0.131
451,5.0765,5.1193,0.098
452,5.0765,5.0877,0.081
453,5.0775,5.0862,0.095
454,5.0785,5.0855,0.108
455,5.1125,5.1276,0.112
456,5.2435,5.2553,0.194
457,5.2445,5.2518,0.098
458,5.2445,5.258,0.079
459,5.2445,5.2804,0.171
460,5.2445,5.2561,0.295
461,5.2545,5.2857,0.087
462,5.2695,5.28,0.152
463,5.2705,5.2834,0.115
464,5.2715,5.3058,0.083
465,5.2845,5.2989,0.205
466,5.2875,5.3199,0.116
467,5.2925,5.303,0.211
468,5.2955,5.3257,0.076
469,5.3055,5.322,0.078
470,5.3265,5.3649,0.081
471,5.3265,5.343,0.084
472,5.3275,5.3614,0.177
473,5.3295,5.3414,0.088
474,5.3395,5.3445,0.081
475,5.3415,5.355,0.148
476,5.3535,5.3881,0.094
477,5.4415,5.4773,0.102
478,5.4445,5.4586,0.199
479,5.4475,5.4672,0.094
480,5.4545,5.4681,0.078
481,5.4665,5.4778,0.09
482,5.4995,5.5113,0.081
483,5.4995,5.542,0.098
484,5.5005,5.5085,0.077
485,5.5445,5.5515,0.091
486,5.5755,5.6183,0.157
487,5.5765,5.6162,0.077
488,5.5795,5.5959,0.229
489,5.5855,5.6273,0.082
490,5.6125,5.6407,0.2
491,5.6125,5.6216,0.361
492,5.6135,5.626,0.13
493,5.6305,5.6655,0.201
494,5.6335,5.6447,0.101
495,5.6335,5.6488,0.112
496,5.6375,5.6541,0.155
497,5.6465,5.6562,0.1
498,5.6755,5.7152,0.119
499,5.6765,5.6942,0.232
500,5.6775,5.6896,0.11
501,5.6805,5.7217,0.119
502,5.6815,5.6903,0.135
503,5.6905,5.7238,0.155
504,5.6965,5.7117,0.135
505,5.6975,5.7056,0.108
506,5.7045,5.7145,0.132
507,5.7065,5.7172,0.124
508,5.7085,5.7183,0.105
509,5.7335,5.7469,0.23
510,5.7365,5.748,0.089
511,5.8125,5.8333,0.083
512,5.8135,5.8525,0.089
513,5.8155,5.8253,0.2
514,5.8165,5.8285,0.104
515,5.8275,5.8423,0.082
516,5.8285,5.8544,0.088
517,5.8295,5.8429,0.074
518,5.8345,5.8476,0.136
519,5.8395,5.8439,0.151
520,5.8405,5.8466,0.149
521,5.8435,5.8809,0.13
522,5.8445,5.8554,0.135
523,5.8445,5.8567,0.126
524,5.8805,5.9242,0.098
525,5.8825,5.8939,0.079
526,5.8825,5.9233,0.083
527,5.8855,5.8931,0.084
528,5.8875,5.8946,0.118
529,5.9145,5.9226,0.124
530,5.9335,5.9478,0.082
531,5.9545,5.9616,0.092
532,5.9845,6.0271,0.078
533,6.0055,6.0183,0.08
534,6.0055,6.0547,0.079
535,6.0055,6.0145,0.15
536,6.0065,6.0309,0.179
