,start_times,end_times,det_probs
0,0.0015,0.0413,0.14
1,0.0015,0.0178,0.057
2,0.0025,0.0183,0.046
3,0.0075,0.0245,0.191
4,0.0085,0.0282,0.083
5,0.0095,0.0607,0.128
6,0.0115,0.0252,0.068
7,0.0125,0.0524,0.054
8,0.0245,0.0397,0.082
9,0.0295,0.0347,0.031
10,0.0295,0.0723,0.065
11,0.0295,0.0681,0.041
12,0.0315,0.0446,0.07
13,0.0325,0.0464,0.065
14,0.0415,0.0468,0.039
15,0.0615,0.1049,0.031
16,0.0715,0.0794,0.05
17,0.0825,0.0948,0.032
18,0.1375,0.1447,0.032
19,0.1525,0.192,0.032
20,0.1595,0.1689,0.074
21,0.1595,0.1936,0.033
22,0.1615,0.2011,0.031
23,0.1865,0.2175,0.038
24,0.1905,0.1973,0.043
25,0.1905,0.2311,0.043
26,0.1935,0.2038,0.039
27,0.2015,0.2405,0.037
28,0.2105,0.2519,0.037
29,0.2125,0.2441,0.04
30,0.2145,0.2205,0.063
31,0.2235,0.2297,0.037
32,0.2705,0.3164,0.065
33,0.2715,0.2821,0.043
34,0.2715,0.3052,0.034
35,0.2775,0.289,0.04
36,0.3025,0.3393,0.034
37,0.3145,0.3325,0.169
38,0.3155,0.352,0.044
39,0.3165,0.3327,0.263
40,0.3175,0.3595,0.064
41,0.3655,0.3767,0.039
42,0.3675,0.407,0.075
43,0.3695,0.378,0.042
44,0.3865,0.41,0.046
45,0.3865,0.427,0.036
46,0.3925,0.4346,0.035
47,0.3935,0.414,0.045
48,0.3945,0.4045,0.039
49,0.4115,0.4222,0.036
50,0.4125,0.4261,0.092
51,0.4135,0.4486,0.035
52,0.4135,0.4599,0.055
53,0.4275,0.468,0.036
54,0.4315,0.4387,0.036
55,0.4615,0.5026,0.032
56,0.4685,0.4799,0.071
57,0.4685,0.4849,0.087
58,0.4775,0.5085,0.035
59,0.4835,0.506,0.034
60,0.4865,0.5257,0.034
61,0.4925,0.5061,0.072
62,0.4975,0.5342,0.04
63,0.4985,0.5076,0.052
64,0.4995,0.5407,0.036
65,0.4995,0.5112,0.04
66,0.5275,0.5407,0.064
67,0.5435,0.5804,0.034
68,0.5485,0.5549,0.037
69,0.5555,0.5694,0.057
70,0.5575,0.5687,0.035
71,0.5695,0.6112,0.041
72,0.5705,0.605,0.045
73,0.5715,0.5828,0.087
74,0.6075,0.6514,0.038
75,0.6125,0.625,0.058
76,0.6255,0.6582,0.033
77,0.6405,0.6603,0.093
78,0.6515,0.662,0.036
79,0.6655,0.6754,0.031
80,0.6705,0.7156,0.045
81,0.6975,0.7308,0.032
82,0.6995,0.7067,0.03
83,0.7035,0.7101,0.034
84,0.7405,0.749,0.048
85,0.7415,0.7483,0.045
86,0.7705,0.7757,0.092
87,0.7815,0.7965,0.049
88,0.8455,0.8596,0.041
89,0.8625,0.8951,0.034
90,0.8835,0.8934,0.065
91,0.8845,0.9173,0.031
92,0.8845,0.8926,0.079
93,0.9225,0.9305,0.044
94,0.9235,0.9631,0.031
95,0.9995,1.0084,0.031
96,1.0235,1.0299,0.05
97,1.0535,1.0627,0.033
98,1.0685,1.1071,0.036
99,1.1065,1.1154,0.039
100,1.1305,1.174,0.049
101,1.1315,1.1383,0.034
102,1.1335,1.1681,0.045
103,1.1425,1.1501,0.033
104,1.1675,1.2052,0.053
105,1.1725,1.2135,0.263
106,1.1725,1.1863,0.263
107,1.1745,1.1918,0.13
108,1.1755,1.1852,0.06
109,1.1925,1.2015,0.032
110,1.2405,1.2616,0.034
111,1.2505,1.2844,0.034
112,1.2515,1.2705,0.031
113,1.2835,1.3154,0.045
114,1.2835,1.2932,0.031
115,1.2845,1.3278,0.043
116,1.3035,1.3123,0.032
117,1.3105,1.3184,0.035
118,1.3765,1.4157,0.03
119,1.4065,1.4219,0.038
120,1.4135,1.4215,0.04
121,1.4145,1.4483,0.032
122,1.4175,1.4271,0.059
123,1.4185,1.4237,0.031
124,1.4315,1.4483,0.072
125,1.4375,1.4775,0.12
126,1.4395,1.4781,0.055
127,1.4405,1.4546,0.231
128,1.4585,1.472,0.041
129,1.4815,1.491,0.042
130,1.4965,1.5091,0.08
131,1.5035,1.5405,0.067
132,1.5045,1.5178,0.097
133,1.5065,1.5478,0.067
134,1.5375,1.551,0.049
135,1.5425,1.5884,0.053
136,1.5575,1.5693,0.062
137,1.5615,1.6042,0.044
138,1.5615,1.5725,0.031
139,1.5685,1.5766,0.034
140,1.5815,1.5918,0.031
141,1.6035,1.61,0.037
142,1.6095,1.6397,0.031
143,1.6405,1.6728,0.032
144,1.6605,1.6671,0.037
145,1.6765,1.6951,0.145
146,1.6775,1.7181,0.074
147,1.6805,1.6934,0.16
148,1.6815,1.7293,0.079
149,1.7285,1.7653,0.048
150,1.7325,1.7773,0.09
151,1.7335,1.7481,0.06
152,1.7335,1.75,0.235
153,1.7335,1.7404,0.043
154,1.7345,1.7613,0.132
155,1.7365,1.7677,0.045
156,1.7365,1.7605,0.032
157,1.7375,1.7815,0.05
158,1.7435,1.7852,0.04
159,1.7455,1.7818,0.094
160,1.7465,1.7732,0.052
161,1.7555,1.7696,0.12
162,1.7565,1.7628,0.044
163,1.7585,1.7955,0.063
164,1.7655,1.774,0.064
165,1.7655,1.7714,0.045
166,1.7655,1.7839,0.083
167,1.7675,1.8079,0.106
168,1.7675,1.7774,0.048
169,1.7745,1.783,0.05
170,1.7785,1.7902,0.032
171,1.7795,1.8232,0.085
172,1.7825,1.7955,0.05
173,1.7875,1.7929,0.031
174,1.7905,1.8249,0.038
175,1.7985,1.8149,0.032
176,1.8005,1.8081,0.054
177,1.8365,1.8468,0.049
178,1.8875,1.8954,0.033
179,1.8955,1.9023,0.035
180,1.8955,1.9372,0.04
181,1.8965,1.9304,0.031
182,1.9215,1.9321,0.032
183,1.9525,1.9946,0.034
184,1.9685,2.0092,0.032
185,1.9685,2.0023,0.033
186,1.9745,1.9853,0.06
187,1.9755,1.9905,0.113
188,1.9935,2.0051,0.1
189,2.0065,2.0378,0.03
190,2.0315,2.0684,0.036
191,2.0325,2.0634,0.031
192,2.0475,2.0542,0.031
193,2.0595,2.1001,0.033
194,2.0595,2.069,0.033
195,2.0685,2.1111,0.04
196,2.0725,2.1064,0.031
197,2.1055,2.1139,0.034
198,2.1365,2.1461,0.032
199,2.1375,2.1457,0.039
200,2.1595,2.1925,0.031
201,2.2085,2.2451,0.034
202,2.2095,2.2456,0.031
203,2.2095,2.2154,0.055
204,2.2095,2.2159,0.047
205,2.2235,2.2643,0.053
206,2.2415,2.2566,0.075
207,2.2415,2.2519,0.06
208,2.2455,2.2837,0.033
209,2.3385,2.3501,0.03
210,2.3695,2.3778,0.031
211,2.4145,2.4497,0.041
212,2.4165,2.4274,0.071
213,2.4175,2.4594,0.067
214,2.4355,2.4459,0.036
215,2.4365,2.4437,0.031
216,2.4375,2.4813,0.088
217,2.4395,2.4735,0.03
218,2.4515,2.4572,0.059
219,2.4515,2.4563,0.048
220,2.4895,2.5089,0.279
221,2.4905,2.5028,0.29
222,2.4905,2.5305,0.04
223,2.5155,2.5529,0.031
224,2.5165,2.5481,0.032
225,2.5385,2.5528,0.086
226,2.5415,2.5495,0.043
227,2.5635,2.5681,0.069
228,2.5635,2.5704,0.104
229,2.5645,2.5712,0.037
230,2.5725,2.6111,0.038
231,2.5745,2.604,0.037
232,2.5815,2.611,0.036
233,2.5945,2.607,0.04
234,2.6105,2.6491,0.068
235,2.6105,2.6581,0.095
236,2.6175,2.6352,0.151
237,2.6195,2.6369,0.121
238,2.6215,2.6535,0.033
239,2.6275,2.6411,0.12
240,2.6405,2.6556,0.045
241,2.6415,2.681,0.085
242,2.6425,2.657,0.113
243,2.6435,2.6795,0.04
244,2.6435,2.6732,0.035
245,2.6495,2.6556,0.037
246,2.6505,2.67,0.081
247,2.6605,2.6786,0.07
248,2.6715,2.6808,0.039
249,2.6755,2.686,0.037
250,2.7135,2.7214,0.04
251,2.7345,2.7665,0.032
252,2.7365,2.7441,0.036
253,2.7645,2.7719,0.031
254,2.7815,2.831,0.102
255,2.7845,2.802,0.232
256,2.7845,2.8002,0.216
257,2.8035,2.8107,0.033
258,2.8155,2.8225,0.041
259,2.8315,2.8636,0.031
260,2.8585,2.8662,0.031
261,2.8835,2.8935,0.041
262,2.8895,2.8981,0.038
263,2.9135,2.9272,0.399
264,2.9135,2.9508,0.059
265,2.9145,2.959,0.118
266,2.9155,2.9272,0.246
267,2.9155,2.9252,0.091
268,2.9195,2.9247,0.031
269,2.9725,3.0113,0.031
270,2.9775,2.9892,0.071
271,2.9785,2.9863,0.051
272,3.0045,3.0418,0.031
273,3.0395,3.0503,0.041
274,3.0405,3.0831,0.051
275,3.0415,3.074,0.044
276,3.0415,3.0489,0.04
277,3.0515,3.0843,0.031
278,3.0725,3.1075,0.052
279,3.0815,3.0935,0.039
280,3.0815,3.1229,0.039
281,3.0865,3.1012,0.037
282,3.0875,3.1291,0.04
283,3.0875,3.1019,0.176
284,3.0885,3.0987,0.044
285,3.1035,3.1475,0.043
286,3.1045,3.1147,0.061
287,3.1385,3.1465,0.033
288,3.1575,3.169,0.043
289,3.1725,3.2096,0.049
290,3.1935,3.201,0.052
291,3.2025,3.2152,0.267
292,3.2035,3.238,0.054
293,3.2045,3.2148,0.06
294,3.2055,3.2132,0.058
295,3.2065,3.25,0.044
296,3.2305,3.2479,0.047
297,3.2305,3.2409,0.05
298,3.2405,3.2837,0.087
299,3.2425,3.2787,0.066
300,3.2455,3.2606,0.203
301,3.2475,3.2589,0.08
302,3.2475,3.2576,0.081
303,3.2475,3.2813,0.067
304,3.2965,3.3041,0.038
305,3.2975,3.3287,0.031
306,3.2985,3.309,0.113
307,3.3005,3.3087,0.035
308,3.3145,3.3547,0.035
309,3.3325,3.3707,0.04
310,3.3335,3.3399,0.038
311,3.3335,3.3751,0.071
312,3.3385,3.3542,0.139
313,3.3425,3.3603,0.163
314,3.3495,3.3578,0.093
315,3.3515,3.3813,0.036
316,3.3635,3.3711,0.033
317,3.3865,3.4032,0.153
318,3.3895,3.3995,0.046
319,3.3945,3.4288,0.031
320,3.3955,3.436,0.032
321,3.4225,3.4692,0.053
322,3.4255,3.4363,0.036
323,3.4285,3.4346,0.065
324,3.4845,3.5281,0.043
325,3.4915,3.526,0.033
326,3.5485,3.5923,0.079
327,3.5515,3.5654,0.069
328,3.5515,3.5699,0.249
329,3.5545,3.5854,0.236
330,3.5555,3.5872,0.096
331,3.5615,3.5999,0.065
332,3.5615,3.5986,0.03
333,3.5625,3.5781,0.075
334,3.5645,3.5746,0.078
335,3.5645,3.5782,0.043
336,3.5735,3.5905,0.092
337,3.5755,3.5887,0.041
338,3.5765,3.5973,0.047
339,3.5805,3.6124,0.038
340,3.5855,3.6041,0.098
341,3.5885,3.6247,0.048
342,3.5895,3.5988,0.065
343,3.5905,3.5989,0.052
344,3.5925,3.631,0.157
345,3.5925,3.5999,0.082
346,3.6025,3.6386,0.04
347,3.6055,3.6151,0.117
348,3.6115,3.6196,0.037
349,3.6135,3.6481,0.042
350,3.6145,3.6487,0.045
351,3.6175,3.6296,0.033
352,3.6185,3.6295,0.077
353,3.6485,3.6914,0.041
354,3.6485,3.6808,0.031
355,3.6715,3.7164,0.063
356,3.6715,3.6863,0.069
357,3.6735,3.7093,0.066
358,3.6745,3.6894,0.054
359,3.7145,3.7564,0.046
360,3.7175,3.7311,0.073
361,3.7175,3.7528,0.044
362,3.7185,3.7298,0.037
363,3.7455,3.7556,0.111
364,3.7455,3.756,0.063
365,3.7465,3.786,0.042
366,3.7835,3.7894,0.049
367,3.7835,3.7908,0.047
368,3.7845,3.8262,0.079
369,3.7845,3.8213,0.04
370,3.8195,3.8299,0.138
371,3.8205,3.8288,0.032
372,3.8515,3.8632,0.094
373,3.8645,3.8836,0.032
374,3.8915,3.8995,0.034
375,3.9205,3.9323,0.058
376,3.9225,3.9334,0.032
377,3.9245,3.9581,0.034
378,3.9565,3.9672,0.034
379,3.9655,3.9721,0.037
380,3.9675,4.0027,0.04
381,3.9695,3.9779,0.032
382,3.9695,4.0026,0.031
383,3.9715,3.9825,0.043
384,4.0015,4.0354,0.031
385,4.0025,4.0418,0.086
386,4.0035,4.0205,0.151
387,4.0045,4.0254,0.066
388,4.0155,4.0215,0.04
389,4.0175,4.0346,0.197
390,4.0185,4.0328,0.249
391,4.0185,4.0584,0.054
392,4.0195,4.0556,0.155
393,4.0515,4.0693,0.152
394,4.0575,4.0703,0.035
395,4.0595,4.1014,0.057
396,4.0595,4.0683,0.052
397,4.0605,4.0951,0.046
398,4.0745,4.0856,0.042
399,4.1145,4.1225,0.031
400,4.1165,4.1269,0.033
401,4.1655,4.1768,0.052
