,start_times,end_times,det_probs
0,0.0015,0.0342,0.043
1,0.0015,0.0076,0.082
2,0.0125,0.0205,0.049
3,0.0525,0.0958,0.043
4,0.0555,0.0903,0.049
5,0.0665,0.1002,0.052
6,0.0685,0.0872,0.085
7,0.0745,0.1081,0.061
8,0.0755,0.1116,0.043
9,0.0795,0.0982,0.093
10,0.0815,0.0907,0.041
11,0.1145,0.1454,0.04
12,0.1365,0.1418,0.06
13,0.1845,0.1942,0.042
14,0.1995,0.229,0.043
15,0.2045,0.2477,0.113
16,0.2075,0.2221,0.291
17,0.2095,0.2189,0.047
18,0.2095,0.226,0.157
19,0.2105,0.2533,0.049
20,0.2115,0.2241,0.081
21,0.2555,0.2862,0.046
22,0.2785,0.3179,0.04
23,0.2795,0.3116,0.065
24,0.2955,0.3026,0.066
25,0.3005,0.335,0.054
26,0.3155,0.3372,0.059
27,0.3195,0.3586,0.075
28,0.3205,0.3365,0.084
29,0.3285,0.3597,0.038
30,0.3315,0.3399,0.044
31,0.3405,0.3715,0.042
32,0.3685,0.3782,0.038
33,0.3695,0.3806,0.039
34,0.3965,0.4273,0.039
35,0.3965,0.438,0.047
36,0.4145,0.4496,0.048
37,0.4565,0.4711,0.298
38,0.4935,0.5088,0.239
39,0.4945,0.531,0.06
40,0.4945,0.5078,0.23
41,0.4965,0.5291,0.072
42,0.5425,0.5833,0.138
43,0.5465,0.5711,0.162
44,0.5485,0.5665,0.235
45,0.5515,0.5917,0.072
46,0.5515,0.5655,0.055
47,0.5525,0.5735,0.24
48,0.5525,0.5856,0.132
49,0.5575,0.5751,0.07
50,0.5635,0.5794,0.072
51,0.5655,0.5839,0.056
52,0.5675,0.5786,0.045
53,0.5685,0.6029,0.041
54,0.5685,0.6021,0.114
55,0.5755,0.5887,0.06
56,0.5775,0.5886,0.122
57,0.5775,0.5915,0.103
58,0.6005,0.6488,0.061
59,0.6065,0.6463,0.05
60,0.6075,0.654,0.058
61,0.6095,0.6187,0.069
62,0.6135,0.6348,0.081
63,0.6245,0.6425,0.056
64,0.6295,0.6684,0.066
65,0.6295,0.6404,0.101
66,0.6515,0.6581,0.053
67,0.6755,0.7192,0.041
68,0.6805,0.6872,0.04
69,0.6825,0.6895,0.065
70,0.7265,0.7593,0.045
71,0.7805,0.7954,0.095
72,0.7805,0.7915,0.039
73,0.7975,0.8276,0.046
74,0.8055,0.8139,0.04
75,0.8245,0.8308,0.054
76,0.8315,0.8651,0.04
77,0.8515,0.8853,0.039
78,0.8635,0.9029,0.046
79,0.8635,0.902,0.143
80,0.8645,0.8768,0.362
81,0.8645,0.8841,0.104
82,0.8665,0.8745,0.165
83,0.8715,0.9143,0.046
84,0.8845,0.9196,0.04
85,0.8905,0.8982,0.051
86,0.8915,0.9302,0.043
87,0.8925,0.9257,0.039
88,0.9375,0.9793,0.038
89,0.9485,0.9788,0.039
90,0.9785,1.0207,0.045
91,1.0695,1.0763,0.044
92,1.0735,1.1026,0.04
93,1.0825,1.089,0.069
94,1.1135,1.1237,0.046
95,1.1165,1.1231,0.044
96,1.1285,1.1347,0.059
97,1.1435,1.1565,0.294
98,1.1445,1.1912,0.131
99,1.1465,1.1863,0.064
100,1.1475,1.1676,0.226
101,1.1485,1.1689,0.067
