,start_times,end_times,det_probs
0,0.0015,0.0318,0.099
1,0.0215,0.0293,0.093
2,0.0345,0.0667,0.127
3,0.0345,0.054,0.16
4,0.0355,0.0488,0.105
5,0.0625,0.0797,0.081
6,0.1125,0.1212,0.136
7,0.1155,0.1255,0.129
8,0.1155,0.1232,0.108
9,0.1165,0.1269,0.214
10,0.1175,0.1267,0.124
11,0.1185,0.1313,0.124
12,0.1185,0.1471,0.079
13,0.1325,0.1441,0.089
14,0.1385,0.151,0.097
15,0.1385,0.1717,0.154
16,0.1455,0.1605,0.195
17,0.1455,0.1598,0.224
18,0.1485,0.1789,0.119
19,0.1515,0.1618,0.105
20,0.1535,0.1644,0.16
21,0.2475,0.258,0.108
22,0.2685,0.278,0.138
23,0.2685,0.2782,0.144
24,0.2715,0.2871,0.163
25,0.2755,0.2857,0.145
26,0.2805,0.3074,0.126
27,0.2835,0.295,0.148
28,0.2885,0.3004,0.097
29,0.2895,0.3153,0.109
30,0.3175,0.3324,0.156
31,0.3535,0.3636,0.082
32,0.3555,0.3621,0.118
33,0.3565,0.3632,0.081
34,0.3955,0.4025,0.089
35,0.5385,0.5448,0.088
36,0.6485,0.6808,0.08
37,0.6515,0.6622,0.18
38,0.6525,0.6629,0.11
39,0.6555,0.6694,0.163
40,0.6585,0.6715,0.166
41,0.6595,0.6674,0.151
42,0.6615,0.6904,0.149
43,0.6665,0.6791,0.106
44,0.6995,0.7215,0.109
45,0.7005,0.738,0.08
46,0.7015,0.712,0.115
47,0.7125,0.7215,0.108
48,0.7175,0.7263,0.184
49,0.7215,0.7296,0.101
50,0.7745,0.7865,0.279
51,0.7745,0.8253,0.1
52,0.7755,0.7948,0.355
53,0.7755,0.7879,0.228
54,0.7875,0.8271,0.086
55,0.7885,0.8035,0.097
56,0.7885,0.8034,0.152
57,0.7915,0.8031,0.201
58,0.7945,0.8263,0.115
59,0.7965,0.8064,0.214
60,0.7995,0.8098,0.143
61,0.8005,0.8303,0.091
62,0.8015,0.8178,0.126
63,0.8045,0.8172,0.12
64,0.8085,0.8207,0.104
65,0.8355,0.8433,0.103
66,0.8745,0.8868,0.177
67,0.8755,0.8854,0.241
68,0.8775,0.9134,0.242
69,0.9285,0.9603,0.132
70,0.9285,0.9407,0.2
71,0.9305,0.9434,0.205
72,0.9305,0.9401,0.127
73,0.9375,0.9461,0.108
74,0.9395,0.9503,0.109
75,0.9405,0.9665,0.135
76,0.9445,0.986,0.084
77,0.9465,0.9576,0.123
78,0.9465,0.9537,0.088
79,0.9465,0.9618,0.081
80,0.9605,0.9729,0.086
81,0.9635,0.9727,0.104
82,0.9645,0.9743,0.181
83,0.9725,0.9829,0.089
84,0.9725,0.9811,0.092
85,0.9765,0.9922,0.104
86,0.9805,0.993,0.157
87,0.9815,1.0174,0.144
88,0.9835,0.9959,0.246
89,0.9875,0.9981,0.111
90,0.9885,0.9966,0.164
91,0.9885,1.0019,0.109
92,0.9965,1.0081,0.086
93,0.9985,1.0086,0.146
94,1.0045,1.0224,0.083
95,1.0255,1.039,0.134
96,1.0445,1.0535,0.237
97,1.0475,1.0543,0.091
98,1.0485,1.0838,0.122
99,1.0725,1.1105,0.145
100,1.0765,1.0898,0.3
101,1.0785,1.0869,0.192
102,1.0805,1.0953,0.139
103,1.0915,1.1027,0.097
104,1.1085,1.1248,0.098
105,1.1105,1.1272,0.183
106,1.1635,1.2095,0.183
107,1.1665,1.1774,0.211
108,1.1675,1.1774,0.182
109,1.1675,1.1765,0.203
110,1.1685,1.1888,0.103
111,1.1935,1.2031,0.171
112,1.1945,1.2208,0.101
113,1.1945,1.2098,0.139
114,1.1955,1.2151,0.107
115,1.1955,1.2035,0.085
116,1.2025,1.2125,0.136
117,1.2075,1.2144,0.252
118,1.2095,1.2198,0.099
119,1.2165,1.225,0.172
120,1.2185,1.2271,0.092
121,1.2195,1.2609,0.169
122,1.2205,1.2315,0.153
123,1.2205,1.2303,0.182
124,1.2385,1.2766,0.082
125,1.2395,1.2503,0.161
126,1.2405,1.2474,0.175
127,1.2455,1.2547,0.106
128,1.2545,1.2606,0.083
129,1.2705,1.3073,0.113
130,1.2715,1.284,0.142
131,1.2905,1.3232,0.08
132,1.3515,1.3679,0.151
133,1.3705,1.411,0.126
134,1.4005,1.4337,0.08
135,1.4005,1.4138,0.133
136,1.4195,1.4293,0.132
137,1.4355,1.4719,0.256
138,1.4405,1.451,0.177
139,1.4425,1.4568,0.144
140,1.4465,1.4603,0.195
141,1.4485,1.4568,0.193
142,1.4575,1.4722,0.08
143,1.5125,1.5242,0.082
144,1.5155,1.5256,0.147
145,1.5215,1.5287,0.1
146,1.5235,1.5356,0.092
147,1.5245,1.536,0.086
148,1.5255,1.5599,0.121
149,1.5275,1.5405,0.137
150,1.5315,1.5673,0.145
151,1.5325,1.5463,0.125
152,1.5325,1.5442,0.081
153,1.5355,1.5472,0.098
154,1.5365,1.5499,0.096
155,1.5365,1.5464,0.097
156,1.5375,1.5512,0.088
157,1.5425,1.5535,0.103
158,1.5855,1.5982,0.254
159,1.5865,1.596,0.145
160,1.5885,1.5972,0.13
161,1.5975,1.6189,0.182
162,1.6365,1.6781,0.081
163,1.6385,1.6466,0.081
164,1.6425,1.6508,0.201
165,1.6475,1.6606,0.15
166,1.6535,1.6631,0.099
167,1.6685,1.6813,0.098
168,1.6725,1.6928,0.104
169,1.6845,1.6979,0.176
170,1.6845,1.7162,0.146
171,1.6885,1.7046,0.111
172,1.6895,1.7026,0.183
173,1.6935,1.7082,0.11
174,1.6945,1.7278,0.149
175,1.6945,1.7043,0.161
176,1.6945,1.7377,0.087
177,1.7005,1.7101,0.112
178,1.7065,1.7156,0.105
179,1.7525,1.7926,0.191
180,1.7575,1.7715,0.206
181,1.7605,1.7703,0.151
182,1.7605,1.7702,0.146
183,1.7715,1.7825,0.093
184,1.8105,1.8372,0.126
185,1.8165,1.8266,0.082
186,1.8275,1.8412,0.114
187,1.8275,1.8395,0.103
188,1.8325,1.8439,0.277
189,1.8385,1.8518,0.096
190,1.8395,1.8709,0.26
191,1.8405,1.8519,0.14
192,1.9235,1.9612,0.086
