,start_times,end_times,det_probs
0,0.0015,0.0083,0.086
1,0.0015,0.0071,0.062
2,0.0015,0.0298,0.109
3,0.0345,0.0412,0.061
4,0.0555,0.0643,0.057
5,0.0685,0.083,0.065
6,0.0835,0.0929,0.061
7,0.0925,0.102,0.061
8,0.1635,0.1694,0.056
9,0.1765,0.1902,0.191
10,0.1775,0.2102,0.159
11,0.1775,0.1921,0.26
12,0.2125,0.2385,0.072
13,0.2225,0.2359,0.104
14,0.2285,0.2363,0.092
15,0.2545,0.2615,0.064
16,0.2595,0.2668,0.057
17,0.2725,0.2821,0.071
18,0.2975,0.3045,0.059
19,0.3405,0.356,0.289
20,0.3415,0.3827,0.098
21,0.3425,0.3613,0.089
22,0.3425,0.3568,0.146
23,0.3435,0.3842,0.068
24,0.3515,0.3684,0.062
25,0.3715,0.3883,0.147
26,0.3835,0.425,0.057
27,0.4135,0.4231,0.064
28,0.4215,0.439,0.173
29,0.4255,0.4689,0.118
30,0.4285,0.4533,0.081
31,0.4295,0.4429,0.161
32,0.4415,0.4519,0.124
33,0.4425,0.4549,0.067
34,0.4455,0.4543,0.109
35,0.4535,0.4966,0.069
36,0.4565,0.4688,0.066
37,0.4565,0.4664,0.088
38,0.4575,0.4749,0.151
39,0.4695,0.4789,0.068
40,0.4795,0.4878,0.096
41,0.4995,0.5437,0.069
42,0.5005,0.513,0.144
43,0.5035,0.5139,0.106
44,0.5895,0.6002,0.074
45,0.6335,0.6433,0.067
46,0.6965,0.7142,0.225
47,0.7015,0.7476,0.091
48,0.7025,0.7111,0.112
49,0.7145,0.7206,0.055
50,0.7215,0.7584,0.181
51,0.7225,0.7319,0.18
52,0.7225,0.7394,0.174
53,0.7525,0.7946,0.059
54,0.7575,0.774,0.066
55,0.7575,0.7698,0.179
56,0.8305,0.8456,0.225
57,0.8345,0.8806,0.297
58,0.8345,0.8448,0.072
59,0.8345,0.8517,0.156
60,0.8445,0.8602,0.068
61,0.8565,0.8693,0.088
62,0.8635,0.8956,0.104
63,0.8735,0.8823,0.057
64,0.8745,0.8804,0.063
65,0.8765,0.883,0.063
66,1.0395,1.0463,0.068
67,1.0555,1.0954,0.136
68,1.0565,1.0925,0.06
69,1.0635,1.0984,0.145
70,1.0635,1.0841,0.131
71,1.0675,1.0822,0.121
72,1.0795,1.1213,0.056
73,1.0885,1.1042,0.09
74,1.2365,1.2556,0.068
75,1.2535,1.2889,0.15
76,1.2545,1.2919,0.059
77,1.2545,1.2664,0.195
78,1.2785,1.3001,0.116
79,1.2785,1.2859,0.063
80,1.4185,1.4366,0.198
81,1.4185,1.4336,0.158
82,1.4185,1.4411,0.095
83,1.4195,1.4318,0.12
84,1.4195,1.4637,0.108
85,1.4195,1.4729,0.091
86,1.4315,1.4451,0.169
87,1.4325,1.4454,0.118
88,1.4365,1.4557,0.097
89,1.4365,1.4515,0.29
90,1.4375,1.4725,0.144
91,1.4395,1.4452,0.065
92,1.4405,1.4478,0.07
93,1.4445,1.4546,0.161
94,1.4475,1.4639,0.081
95,1.4475,1.4541,0.065
96,1.4545,1.4657,0.072
97,1.4705,1.4932,0.086
98,1.4715,1.51,0.103
99,1.4715,1.4894,0.055
100,1.5005,1.5441,0.112
101,1.5035,1.527,0.059
102,1.5045,1.5176,0.112
103,1.5045,1.5271,0.182
104,1.5055,1.5227,0.198
105,1.5195,1.5346,0.112
106,1.5245,1.552,0.1
107,1.5255,1.5375,0.249
108,1.5255,1.5397,0.106
109,1.5275,1.5405,0.07
110,1.5285,1.5366,0.183
111,1.5355,1.5521,0.064
112,1.5435,1.5553,0.148
113,1.5445,1.5691,0.083
114,1.5455,1.557,0.108
115,1.5895,1.6306,0.133
116,1.5905,1.5953,0.072
117,1.5915,1.6026,0.189
118,1.5925,1.608,0.108
119,1.6045,1.6118,0.057
120,1.6555,1.6625,0.057
121,1.7045,1.7148,0.094
122,1.7205,1.7689,0.1
123,1.7205,1.7397,0.149
124,1.7215,1.7626,0.074
