,start_times,end_times,det_probs
0,0.0015,0.0318,0.152
1,0.0065,0.0193,0.167
2,0.0085,0.0217,0.216
3,0.0085,0.0186,0.079
4,0.0095,0.0439,0.175
5,0.0115,0.0167,0.07
6,0.0155,0.0267,0.079
7,0.0205,0.0354,0.075
8,0.0235,0.036,0.066
9,0.0695,0.1094,0.076
10,0.0695,0.0769,0.104
11,0.0765,0.0859,0.136
12,0.0765,0.1138,0.073
13,0.0775,0.0827,0.068
14,0.1365,0.149,0.112
15,0.1365,0.1783,0.097
16,0.1375,0.1562,0.252
17,0.1375,0.1458,0.132
18,0.1375,0.161,0.132
19,0.1485,0.1596,0.118
20,0.1485,0.1597,0.104
21,0.1585,0.1713,0.117
22,0.1605,0.1731,0.071
23,0.1605,0.195,0.14
24,0.1605,0.1671,0.151
25,0.1605,0.1728,0.268
26,0.1655,0.1769,0.11
27,0.1785,0.1999,0.081
28,0.2195,0.2328,0.123
29,0.2215,0.267,0.148
30,0.2215,0.2671,0.088
31,0.2215,0.2331,0.158
32,0.2235,0.2371,0.132
33,0.2245,0.248,0.196
34,0.2245,0.2388,0.148
35,0.2345,0.2449,0.067
36,0.2365,0.247,0.236
37,0.2385,0.2487,0.154
38,0.2405,0.2515,0.164
39,0.2405,0.2554,0.129
40,0.2415,0.2468,0.11
41,0.2505,0.2639,0.073
42,0.2515,0.2587,0.188
43,0.2515,0.2632,0.159
44,0.2525,0.2807,0.068
45,0.2545,0.2624,0.076
46,0.2705,0.2886,0.075
47,0.2705,0.3125,0.16
48,0.2765,0.2877,0.093
49,0.2925,0.2988,0.094
50,0.2935,0.3047,0.072
51,0.2965,0.3052,0.089
52,0.3015,0.3174,0.07
53,0.3085,0.3222,0.168
54,0.3115,0.3227,0.097
55,0.3475,0.3846,0.071
56,0.3485,0.3616,0.219
57,0.3485,0.3612,0.26
58,0.3495,0.386,0.187
59,0.3925,0.4014,0.091
60,0.4175,0.4422,0.126
61,0.4185,0.4343,0.095
62,0.4195,0.4303,0.119
63,0.4355,0.4497,0.111
64,0.4375,0.4463,0.111
65,0.4385,0.4521,0.266
66,0.4395,0.4717,0.134
67,0.4455,0.4497,0.075
68,0.4475,0.4762,0.081
69,0.4485,0.462,0.087
70,0.4505,0.4647,0.134
71,0.4585,0.4756,0.116
72,0.4915,0.5034,0.22
73,0.4915,0.5032,0.212
74,0.4925,0.529,0.149
75,0.5165,0.557,0.079
76,0.5185,0.5314,0.232
77,0.5205,0.5656,0.083
78,0.5205,0.5306,0.2
79,0.5365,0.5489,0.206
80,0.5385,0.5482,0.102
81,0.5405,0.5484,0.071
82,0.5415,0.5495,0.1
83,0.5535,0.5638,0.071
84,0.5535,0.5636,0.138
85,0.5545,0.5632,0.179
86,0.5555,0.5619,0.085
87,0.5675,0.5756,0.137
88,0.5675,0.5773,0.069
89,0.5835,0.5895,0.087
90,0.5985,0.6037,0.071
91,0.5995,0.6402,0.069
92,0.6005,0.6081,0.09
93,0.6015,0.6082,0.081
94,0.6155,0.6232,0.085
95,0.6275,0.6401,0.092
96,0.6345,0.6412,0.076
97,0.6655,0.6784,0.268
98,0.6655,0.7044,0.09
99,0.6715,0.7061,0.086
100,0.6715,0.6806,0.123
101,0.6725,0.6845,0.263
102,0.7465,0.762,0.085
103,0.7495,0.7586,0.074
104,0.7875,0.8007,0.229
105,0.7875,0.8021,0.141
106,0.7905,0.7985,0.135
107,0.8005,0.8085,0.078
108,0.8065,0.8188,0.135
109,0.8245,0.8384,0.211
110,0.8245,0.8552,0.103
111,0.8275,0.8397,0.161
112,0.8295,0.8433,0.11
113,0.8305,0.8446,0.106
114,0.8355,0.8613,0.068
115,0.8405,0.8514,0.079
116,0.8445,0.8536,0.109
117,0.8455,0.8538,0.249
118,0.8515,0.8628,0.069
119,0.8535,0.8603,0.099
120,0.8545,0.8654,0.117
121,0.8635,0.8751,0.083
122,0.8635,0.8706,0.207
123,0.8655,0.8808,0.192
124,0.8655,0.8993,0.083
125,0.8725,0.8841,0.099
126,0.8755,0.8815,0.194
127,0.8785,0.8882,0.227
128,0.8795,0.895,0.071
129,0.8905,0.9006,0.077
130,0.9335,0.9526,0.106
131,0.9335,0.9486,0.083
132,0.9345,0.971,0.122
133,0.9495,0.9615,0.096
134,0.9505,0.9834,0.129
135,0.9505,0.9686,0.192
136,0.9515,0.9562,0.08
137,0.9515,0.9599,0.187
138,0.9585,0.9689,0.096
139,0.9595,0.9911,0.095
140,1.0195,1.034,0.107
141,1.0205,1.0303,0.217
142,1.0545,1.0676,0.08
143,1.0575,1.0715,0.089
144,1.0605,1.1017,0.076
145,1.0695,1.1037,0.152
146,1.0705,1.0871,0.202
147,1.0715,1.082,0.126
148,1.0725,1.0848,0.169
149,1.0765,1.0917,0.108
150,1.0865,1.1036,0.109
151,1.1795,1.1892,0.098
152,1.1795,1.2248,0.068
153,1.1805,1.1897,0.093
154,1.1965,1.2098,0.166
155,1.1975,1.2099,0.109
156,1.1975,1.2361,0.198
157,1.1975,1.2149,0.161
158,1.1985,1.2033,0.096
159,1.2045,1.2186,0.089
160,1.2055,1.237,0.076
161,1.2085,1.222,0.097
162,1.2145,1.2275,0.073
163,1.2555,1.2657,0.07
164,1.2675,1.3127,0.098
165,1.2725,1.2801,0.074
166,1.2755,1.2916,0.157
167,1.2845,1.3222,0.174
168,1.2855,1.2977,0.151
169,1.2875,1.2965,0.082
170,1.2875,1.3012,0.088
171,1.3245,1.3617,0.076
172,1.3295,1.3399,0.099
173,1.3405,1.3526,0.083
174,1.3435,1.3532,0.175
175,1.3525,1.3622,0.218
176,1.3525,1.3664,0.111
177,1.3535,1.3653,0.087
178,1.3555,1.393,0.072
179,1.3645,1.3756,0.079
180,1.3645,1.3956,0.078
181,1.3675,1.4075,0.073
182,1.3685,1.3847,0.255
183,1.3705,1.3811,0.081
184,1.3725,1.3806,0.12
185,1.3745,1.3931,0.069
186,1.3825,1.3952,0.081
187,1.3865,1.4031,0.074
188,1.3885,1.408,0.091
189,1.4425,1.4836,0.067
190,1.4455,1.4502,0.09
191,1.4465,1.4557,0.103
192,1.4755,1.4888,0.277
193,1.4775,1.5242,0.136
194,1.4775,1.4871,0.148
195,1.4795,1.4942,0.149
196,1.4815,1.4893,0.068
197,1.5135,1.523,0.122
198,1.5135,1.5353,0.168
199,1.5165,1.5298,0.129
200,1.5225,1.5343,0.086
201,1.5255,1.5387,0.067
202,1.5335,1.5446,0.089
203,1.5335,1.5692,0.135
204,1.5345,1.5554,0.107
205,1.5365,1.5536,0.24
206,1.5405,1.5519,0.135
207,1.5415,1.5746,0.083
208,1.5425,1.5526,0.189
209,1.5435,1.5506,0.095
210,1.5445,1.5608,0.082
211,1.5565,1.5703,0.073
212,1.5575,1.5779,0.097
213,1.5585,1.5734,0.067
214,1.5585,1.5631,0.073
215,1.5915,1.5985,0.146
216,1.6145,1.6527,0.087
217,1.6245,1.6326,0.118
218,1.6335,1.6738,0.24
219,1.6385,1.6513,0.28
