,start_times,end_times,det_probs
0,0.0015,0.009,0.099
1,0.0015,0.0073,0.086
2,0.0165,0.0272,0.046
3,0.0615,0.1083,0.051
4,0.0625,0.0741,0.114
5,0.0635,0.0746,0.046
6,0.0645,0.0739,0.074
7,0.0675,0.1103,0.054
8,0.0955,0.1339,0.047
9,0.1015,0.1088,0.128
10,0.1015,0.113,0.104
11,0.1045,0.1455,0.045
12,0.1245,0.1405,0.052
13,0.1405,0.162,0.127
14,0.1415,0.149,0.067
15,0.1415,0.1518,0.093
16,0.1425,0.1829,0.049
17,0.1435,0.1848,0.104
18,0.1435,0.1557,0.231
19,0.1535,0.1922,0.071
20,0.1875,0.2005,0.077
21,0.1885,0.2007,0.187
22,0.1895,0.2211,0.047
23,0.2185,0.232,0.088
24,0.2185,0.2368,0.069
25,0.2245,0.2329,0.062
26,0.2295,0.2616,0.055
27,0.2345,0.2634,0.05
28,0.2365,0.2508,0.116
29,0.2395,0.2487,0.051
30,0.3595,0.4006,0.044
31,0.3965,0.415,0.149
32,0.3975,0.4386,0.103
33,0.3985,0.4111,0.14
34,0.4035,0.4435,0.055
35,0.4215,0.4289,0.045
36,0.4445,0.4618,0.048
37,0.4495,0.4863,0.044
38,0.4495,0.5005,0.09
39,0.4535,0.4651,0.06
40,0.4805,0.4957,0.16
41,0.4815,0.5248,0.251
42,0.4815,0.4927,0.137
43,0.4815,0.4945,0.247
44,0.4815,0.5285,0.094
45,0.4825,0.5035,0.203
46,0.4885,0.5092,0.109
47,0.4955,0.526,0.069
48,0.4965,0.5049,0.097
49,0.4975,0.507,0.074
50,0.5005,0.5121,0.064
51,0.5045,0.5132,0.051
52,0.5305,0.5441,0.063
53,0.5335,0.5687,0.048
54,0.5335,0.5449,0.119
55,0.5695,0.5793,0.118
56,0.5725,0.612,0.05
57,0.5835,0.5952,0.055
58,0.5915,0.5986,0.063
59,0.5915,0.6306,0.048
60,0.5925,0.5988,0.042
61,0.6265,0.6421,0.053
62,0.6375,0.6793,0.049
63,0.6395,0.6541,0.061
64,0.6655,0.6811,0.097
65,0.6665,0.7152,0.199
66,0.6665,0.6796,0.257
67,0.6795,0.7171,0.054
68,0.6805,0.6927,0.09
69,0.7165,0.7573,0.044
70,0.7365,0.7469,0.057
71,0.7365,0.7505,0.181
72,0.7405,0.7838,0.042
73,0.7815,0.7961,0.045
74,0.7835,0.8299,0.065
75,0.7835,0.7924,0.043
76,0.7935,0.8054,0.046
77,0.7995,0.8066,0.048
78,0.8305,0.8787,0.076
79,0.8325,0.848,0.084
80,0.8355,0.8461,0.111
81,0.8355,0.886,0.085
82,0.8355,0.8466,0.106
83,0.8685,0.8781,0.082
84,0.9055,0.9192,0.126
85,0.9075,0.9446,0.06
86,0.9075,0.9519,0.277
87,0.9085,0.9257,0.049
88,0.9245,0.9324,0.067
89,0.9325,0.9727,0.057
90,0.9375,0.9465,0.057
91,0.9475,0.9864,0.047
92,0.9725,0.9895,0.093
93,0.9735,0.9861,0.073
94,0.9735,0.9865,0.042
95,0.9745,1.0177,0.07
96,0.9845,0.995,0.045
97,0.9865,0.9972,0.045
98,1.0015,1.0392,0.043
99,1.0295,1.0408,0.221
100,1.0295,1.052,0.147
101,1.0305,1.0388,0.138
102,1.0305,1.0729,0.156
103,1.0315,1.0407,0.097
104,1.0315,1.0691,0.066
105,1.0445,1.0805,0.08
106,1.0465,1.0559,0.126
107,1.0465,1.06,0.179
108,1.0495,1.0631,0.2
109,1.0525,1.0916,0.117
110,1.0555,1.0945,0.069
111,1.0575,1.0693,0.078
112,1.0595,1.0702,0.158
113,1.0635,1.0791,0.128
114,1.0705,1.0889,0.099
115,1.0725,1.0815,0.063
116,1.0745,1.082,0.155
117,1.0925,1.1006,0.128
118,1.1045,1.1426,0.048
119,1.1055,1.1156,0.116
120,1.1065,1.1154,0.055
121,1.1285,1.1404,0.14
122,1.1295,1.1407,0.14
123,1.1635,1.18,0.052
124,1.1815,1.1889,0.043
125,1.2015,1.2431,0.071
126,1.2015,1.2156,0.164
127,1.2025,1.2115,0.056
128,1.2025,1.2202,0.06
129,1.2025,1.2181,0.202
130,1.2095,1.2486,0.046
131,1.2105,1.2219,0.097
132,1.2125,1.2228,0.054
133,1.2125,1.2246,0.081
134,1.2145,1.2576,0.062
135,1.2305,1.2409,0.056
136,1.2325,1.2411,0.07
137,1.2875,1.2976,0.058
138,1.2885,1.2996,0.044
139,1.3155,1.3615,0.062
140,1.3185,1.3344,0.121
141,1.3205,1.3614,0.06
142,1.3215,1.3326,0.077
143,1.3245,1.3704,0.056
144,1.3245,1.3365,0.061
145,1.3305,1.3691,0.051
146,1.3515,1.3612,0.113
147,1.3525,1.3604,0.047
148,1.3855,1.3928,0.053
149,1.3875,1.3973,0.047
150,1.3875,1.3945,0.064
151,1.4055,1.4207,0.113
152,1.4095,1.4185,0.08
153,1.4335,1.4408,0.11
154,1.4335,1.4427,0.063
155,1.4515,1.4944,0.05
156,1.4575,1.4768,0.093
157,1.4595,1.4704,0.069
158,1.4605,1.5089,0.059
159,1.4645,1.4762,0.121
160,1.4645,1.507,0.044
161,1.4655,1.4767,0.068
162,1.4805,1.5044,0.051
163,1.4845,1.4945,0.044
164,1.4845,1.4953,0.047
165,1.4855,1.4948,0.05
166,1.4995,1.515,0.065
167,1.5045,1.5151,0.043
168,1.5065,1.5435,0.05
169,1.5205,1.5307,0.046
170,1.5655,1.5739,0.055
171,1.5715,1.6115,0.047
172,1.5745,1.6073,0.044
173,1.6025,1.6115,0.061
174,1.6115,1.6202,0.044
175,1.6355,1.6424,0.05
176,1.6375,1.6804,0.045
177,1.6665,1.6733,0.076
178,1.6665,1.7086,0.067
179,1.7335,1.7696,0.049
180,1.7405,1.7783,0.271
181,1.7405,1.7642,0.183
182,1.7415,1.7572,0.338
183,1.7415,1.7622,0.135
184,1.7425,1.7509,0.111
185,1.7425,1.7847,0.058
186,1.7485,1.7599,0.07
187,1.7525,1.7906,0.059
188,1.7525,1.7649,0.064
189,1.7575,1.7677,0.052
190,1.7605,1.7719,0.042
191,1.7715,1.7782,0.043
192,1.7945,1.818,0.081
193,1.8105,1.8193,0.061
194,1.8675,1.8742,0.06
195,1.9025,1.9206,0.042
196,1.9085,1.9435,0.043
197,1.9155,1.9575,0.11
198,1.9165,1.9331,0.126
199,1.9205,1.9382,0.169
200,1.9265,1.9379,0.152
201,1.9295,1.9686,0.077
202,1.9335,1.9433,0.05
203,1.9345,1.9483,0.057
204,1.9505,1.9822,0.051
205,1.9515,1.9585,0.047
206,1.9705,1.9787,0.044
