,start_times,end_times,det_probs
0,0.0015,0.037,0.106
1,0.0015,0.0174,0.08
2,0.0015,0.011,0.052
3,0.0085,0.0554,0.114
4,0.0145,0.0546,0.055
5,0.0155,0.0599,0.115
6,0.0155,0.0268,0.062
7,0.0195,0.0347,0.286
8,0.0275,0.0386,0.185
9,0.0285,0.0556,0.055
10,0.0705,0.0906,0.053
11,0.0745,0.0891,0.264
12,0.0745,0.0833,0.12
13,0.0745,0.1205,0.172
14,0.0755,0.0861,0.159
15,0.0755,0.118,0.08
16,0.0855,0.1001,0.109
17,0.0875,0.0982,0.052
18,0.0895,0.0982,0.076
19,0.0925,0.1314,0.054
20,0.0965,0.1038,0.118
21,0.0995,0.108,0.045
22,0.1085,0.1172,0.083
23,0.1135,0.1559,0.057
24,0.1145,0.1229,0.043
25,0.1415,0.1847,0.053
26,0.1425,0.1535,0.061
27,0.1445,0.1531,0.122
28,0.1595,0.1663,0.047
29,0.2165,0.2627,0.079
30,0.2325,0.2404,0.048
31,0.2415,0.2519,0.073
32,0.2455,0.2818,0.045
33,0.3275,0.3354,0.051
34,0.3295,0.3353,0.091
35,0.3295,0.3368,0.055
36,0.3615,0.3688,0.046
37,0.4535,0.4962,0.163
38,0.4545,0.4684,0.199
39,0.4545,0.4943,0.051
40,0.4555,0.4639,0.108
41,0.4555,0.4725,0.328
42,0.4575,0.4879,0.178
43,0.4705,0.4837,0.152
44,0.4715,0.4829,0.143
45,0.4715,0.4795,0.128
46,0.4745,0.5055,0.108
47,0.4755,0.4902,0.064
48,0.4795,0.5194,0.043
49,0.4925,0.5036,0.108
50,0.4935,0.5052,0.073
51,0.4945,0.5035,0.091
52,0.4955,0.5048,0.15
53,0.4955,0.535,0.056
54,0.4965,0.5304,0.054
55,0.5015,0.5105,0.063
56,0.5025,0.5106,0.235
57,0.5025,0.5104,0.046
58,0.5035,0.543,0.047
59,0.5235,0.5359,0.047
60,0.5285,0.5655,0.047
61,0.5495,0.5593,0.065
62,0.5505,0.5622,0.062
63,0.5535,0.5929,0.058
64,0.5555,0.5649,0.048
65,0.5555,0.5614,0.052
66,0.5555,0.5633,0.061
67,0.5655,0.6045,0.063
68,0.5705,0.5928,0.174
69,0.5735,0.5823,0.048
70,0.6625,0.6711,0.049
71,0.6635,0.6695,0.097
72,0.6635,0.6983,0.047
73,0.6645,0.7052,0.101
74,0.6765,0.6886,0.132
75,0.6775,0.7123,0.073
