,start_times,end_times,det_probs
0,0.0015,0.0374,0.049
1,0.0015,0.0299,0.028
2,0.0085,0.0231,0.222
3,0.0085,0.032,0.281
4,0.0095,0.0549,0.068
5,0.0105,0.0185,0.037
6,0.0155,0.0498,0.043
7,0.0235,0.0706,0.077
8,0.0235,0.0303,0.033
9,0.0245,0.0627,0.032
10,0.0315,0.0474,0.045
11,0.0355,0.045,0.089
12,0.0405,0.0736,0.03
13,0.0455,0.0665,0.066
14,0.0535,0.0616,0.031
15,0.0585,0.0707,0.037
16,0.0615,0.0756,0.049
17,0.0665,0.1016,0.027
18,0.0675,0.11,0.035
19,0.0675,0.0772,0.047
20,0.0685,0.0787,0.027
21,0.0875,0.0931,0.029
22,0.0935,0.1066,0.287
23,0.0945,0.11,0.203
24,0.1085,0.1492,0.037
25,0.1125,0.122,0.032
26,0.1175,0.1507,0.03
27,0.1185,0.1581,0.032
28,0.1325,0.1422,0.03
29,0.1565,0.1877,0.027
30,0.1575,0.1642,0.037
31,0.1585,0.1661,0.04
32,0.1735,0.1793,0.03
33,0.1765,0.2099,0.031
34,0.1855,0.2258,0.03
35,0.2105,0.2194,0.027
36,0.2165,0.2261,0.086
37,0.2235,0.26,0.047
38,0.2275,0.2371,0.039
39,0.2845,0.3172,0.03
40,0.2955,0.3027,0.036
41,0.3265,0.3655,0.029
42,0.3285,0.3371,0.031
43,0.3285,0.3368,0.065
44,0.3305,0.3393,0.032
45,0.3345,0.3681,0.03
46,0.3375,0.3808,0.046
47,0.3425,0.3543,0.035
48,0.3695,0.3847,0.068
49,0.3705,0.4101,0.048
50,0.3705,0.3892,0.201
51,0.3715,0.4173,0.118
52,0.3775,0.3946,0.122
53,0.3825,0.3969,0.038
54,0.3835,0.4255,0.058
55,0.3895,0.401,0.076
56,0.3915,0.4273,0.031
57,0.3975,0.4403,0.038
58,0.3985,0.4109,0.035
59,0.4425,0.477,0.029
60,0.4495,0.4636,0.089
61,0.4895,0.5274,0.031
62,0.4925,0.5018,0.048
63,0.5075,0.5477,0.034
64,0.5115,0.5224,0.028
65,0.5215,0.5281,0.029
66,0.5605,0.5662,0.033
67,0.5625,0.5946,0.029
68,0.5905,0.6394,0.171
69,0.5915,0.6303,0.048
70,0.5925,0.609,0.326
71,0.5935,0.6096,0.092
72,0.5955,0.6079,0.122
73,0.6045,0.6181,0.156
74,0.6095,0.6176,0.035
75,0.6095,0.6415,0.043
76,0.6235,0.6642,0.066
77,0.6235,0.6337,0.06
78,0.6235,0.6363,0.132
79,0.6705,0.7077,0.028
80,0.6715,0.6804,0.03
81,0.7395,0.7502,0.097
82,0.7415,0.7492,0.033
83,0.7525,0.7934,0.029
84,0.7535,0.7629,0.042
85,0.7775,0.7883,0.028
86,0.8035,0.8101,0.031
87,0.8125,0.8204,0.03
88,0.8155,0.8503,0.031
89,0.8485,0.8689,0.116
90,0.8495,0.8837,0.042
91,0.8505,0.8632,0.143
92,0.8535,0.8918,0.033
93,0.8795,0.8867,0.034
94,0.8885,0.8997,0.028
95,0.9105,0.9164,0.028
96,0.9115,0.933,0.183
97,0.9135,0.9334,0.032
98,0.9135,0.9585,0.1
99,0.9145,0.9418,0.237
100,0.9155,0.9606,0.064
101,0.9175,0.9424,0.03
102,0.9225,0.9621,0.121
103,0.9235,0.9484,0.037
104,0.9285,0.9557,0.106
105,0.9305,0.9486,0.128
106,0.9325,0.9476,0.03
107,0.9375,0.9728,0.04
108,0.9385,0.9611,0.027
109,0.9425,0.9511,0.056
110,0.9425,0.9634,0.054
111,0.9435,0.9798,0.029
112,0.9505,0.9686,0.044
113,0.9525,0.9911,0.045
114,0.9525,0.9623,0.052
115,0.9565,0.9696,0.027
116,0.9635,1.0008,0.043
117,0.9635,0.9696,0.039
118,0.9665,0.98,0.048
119,0.9695,0.979,0.07
120,0.9695,1.0041,0.043
121,0.9735,0.9796,0.029
122,0.9735,1.0103,0.044
123,0.9745,1.0064,0.042
124,0.9755,0.9881,0.06
125,1.0145,1.0518,0.028
126,1.0165,1.0494,0.027
127,1.0295,1.0442,0.029
128,1.0345,1.0446,0.046
129,1.0365,1.0438,0.028
130,1.0435,1.0504,0.031
131,1.0785,1.0883,0.054
132,1.0805,1.1186,0.027
133,1.0825,1.0931,0.03
134,1.0925,1.1247,0.033
135,1.0985,1.1051,0.038
136,1.0985,1.1046,0.036
137,1.1295,1.1414,0.063
138,1.1735,1.1846,0.109
139,1.1735,1.1826,0.054
140,1.1745,1.2109,0.053
141,1.1755,1.2097,0.031
142,1.2095,1.2154,0.034
143,1.2095,1.2162,0.088
144,1.2115,1.2425,0.028
145,1.2185,1.2267,0.029
146,1.2195,1.2362,0.05
147,1.2335,1.2454,0.075
148,1.2365,1.243,0.028
149,1.2395,1.2705,0.028
150,1.2405,1.2792,0.03
151,1.2425,1.2494,0.044
152,1.2555,1.2893,0.029
153,1.2555,1.2629,0.089
154,1.2635,1.2755,0.056
155,1.2675,1.2746,0.028
156,1.2685,1.31,0.031
157,1.2695,1.3029,0.03
158,1.2975,1.3289,0.03
159,1.3045,1.3135,0.076
160,1.3355,1.3767,0.032
161,1.3485,1.3887,0.027
162,1.3555,1.3629,0.028
163,1.3625,1.3739,0.029
164,1.3985,1.4207,0.036
165,1.3985,1.4136,0.316
166,1.3985,1.441,0.066
167,1.3985,1.4397,0.276
168,1.4005,1.4154,0.214
169,1.4445,1.4785,0.036
170,1.4445,1.4772,0.037
171,1.4465,1.4582,0.059
172,1.4475,1.4573,0.149
173,1.4595,1.4689,0.028
174,1.4765,1.5094,0.033
175,1.4955,1.5017,0.055
176,1.4965,1.5357,0.038
177,1.4965,1.5054,0.051
178,1.5415,1.5485,0.027
179,1.5435,1.5737,0.028
180,1.5535,1.5867,0.038
181,1.5575,1.5732,0.117
182,1.5575,1.5788,0.27
183,1.5585,1.6033,0.129
184,1.5625,1.5991,0.035
185,1.5645,1.5776,0.04
186,1.5785,1.593,0.086
187,1.5795,1.5929,0.168
188,1.5815,1.6198,0.032
189,1.6205,1.6503,0.027
190,1.6325,1.6703,0.032
191,1.6555,1.6669,0.03
192,1.6955,1.7055,0.042
193,1.6975,1.7041,0.035
194,1.7175,1.7593,0.031
195,1.7315,1.7615,0.028
196,1.7545,1.7763,0.14
197,1.7565,1.7773,0.213
198,1.7565,1.8015,0.062
199,1.7575,1.798,0.047
200,1.7665,1.8051,0.028
201,1.7755,1.7891,0.13
202,1.7765,1.7872,0.038
203,1.7775,1.8133,0.065
204,1.7885,1.8078,0.064
205,1.7895,1.8247,0.101
206,1.7905,1.8094,0.232
207,1.8025,1.8133,0.033
208,1.8365,1.8425,0.04
209,1.8385,1.8761,0.03
210,1.8395,1.8718,0.03
